Ewe/V	I/mA
-0.7089057	-0.00084050087
-0.70879114	-0.0007282499
-0.70837116	-0.00066092465
-0.70825666	-0.00069840532
-0.7080276	-0.00046238545
-0.70764577	-0.00050896581
-0.70768398	-0.00063833449
-0.70734036	-0.00049611164
-0.70728308	-0.00043546807
-0.70724493	-0.00043527718
-0.70692039	-0.0004901936
-0.70665312	-0.00044927676
-0.70665312	-0.00041765042
-0.70640498	-0.00044323143
-0.70615679	-0.00041720501
-0.70602322	-0.00043425901
-0.70602322	-0.00033581667
-0.70573688	-0.00034281643
-0.70545053	-0.00031920808
-0.70518327	-0.00028605459
-0.70512599	-0.00034669813
-0.70506871	-0.00025423738
-0.70472509	-0.00033836204
-0.70464873	-0.00036076133
-0.70436239	-0.00041739593
-0.70424789	-0.00045035852
-0.70411426	-0.00027606401
-0.7039997	-0.00044278603
-0.70361793	-0.00031201742
-0.70365608	-0.00038863317
-0.70344609	-0.00040893257
-0.7030834	-0.00039346941
-0.7029689	-0.00037628811
-0.70291162	-0.00042611384
-0.7027207	-0.00044170424
-0.7026062	-0.00042261393
-0.70243436	-0.00030495401
-0.70205259	-0.00039054223
-0.70222437	-0.00037679719
-0.70191896	-0.00032862596
-0.70170897	-0.00027790936
-0.70153719	-0.00038526056
-0.70149899	-0.00020002089
-0.70115536	-0.00023902877
-0.70107901	-0.00026212804
-0.70094538	-0.00022827456
-0.70071632	-0.00029623607
-0.70071632	-0.00030202681
-0.70046818	-0.00022299291
-0.70018184	-0.00011188728
-0.70008636	-0.00026320983
-0.69976187	-0.00019766644
-0.69960916	-0.00016094939
-0.69966638	-0.00029349982
-0.6994946	-0.00018366687
-0.69913191	-0.00027307318
-0.69905555	-0.0002731368
-0.69896007	-0.00013142305
-0.69873101	-0.00011735984
-0.69852102	-0.00023845606
-0.69833016	-0.00025251924
-0.69831103	-0.00032658965
-0.69812018	-0.00016222209
-0.69794834	-0.00014185908
-0.69779563	-0.00022044753
-0.69764292	-0.00034733448
-0.69747114	-0.00018392139
-0.69728023	-0.00020842062
-0.69703203	-0.00021962027
-0.69680297	-0.0002244565
-0.69670755	-7.3070318e-05
-0.69670755	-0.00016661285
-0.69636393	-0.0002857364
-0.6962685	-0.00029839965
-0.69603944	-9.3051516e-05
-0.69584852	-0.00026136445
-0.69569582	-0.00011723257
-0.69567668	-8.9297078e-05
-0.69537127	-0.00019136662
-0.69527584	-0.00013886826
-0.695104	-0.00018455775
-0.69497043	-0.00014663166
-0.6948368	-0.00019473924
-0.69462681	-0.00010940554
-0.69445497	-6.1997933e-05
-0.69424498	1.1817945e-05
-0.69418776	-5.7734425e-05
-0.69388229	-2.7699005e-05
-0.69372958	-0.00010272393
-0.69359595	-1.2744926e-05
-0.69334781	-8.5988097e-05
-0.69325233	-0.00015108606
-0.69296598	-6.4352411e-05
-0.69287056	-0.0001126509
-0.69271785	2.1999444e-05
-0.69252694	9.7151657e-05
-0.69248879	-1.3635808e-05
-0.69222152	5.044401e-05
-0.69210696	-0.00013880464
-0.69203061	-4.2271276e-05
-0.69170612	1.2517921e-05
-0.69162977	2.4799359e-05
-0.69159156	-8.7324413e-05
-0.69107616	-6.3334257e-05
-0.69119066	-4.9716498e-05
-0.69094253	-9.7760458e-05
-0.69075161	1.8273465e-06
-0.69059891	-2.4390016e-05
-0.6904462	1.9835878e-05
-0.69027442	-0.00015350418
-0.68996894	9.3524497e-05
-0.6899308	-0.00018684859
-0.68966353	-5.1561899e-05
-0.68949175	-3.6544185e-05
-0.6894154	-8.547902e-05
-0.68920541	7.6817087e-06
-0.68920541	1.5636006e-05
-0.68891907	-8.0706443e-05
-0.68872815	-6.6834153e-05
-0.68861359	-9.2478804e-05
-0.68846089	-6.8552275e-05
-0.68821275	3.5171761e-05
-0.6881364	1.6364434e-06
-0.68796456	-9.9351317e-05
-0.68769729	-8.6433531e-05
-0.68760186	4.9044062e-05
-0.68743008	-4.793474e-05
-0.68725824	-1.9744708e-05
-0.68708646	-2.2353719e-05
-0.68691468	-3.9598632e-05
-0.6867047	-6.3779698e-05
-0.68662834	8.3661165e-05
-0.68636107	-7.9723486e-06
-0.68622744	-5.5061788e-05
-0.68618923	4.3953307e-05
-0.68582654	-3.5016961e-05
-0.68578839	0.00014506833
-0.68567383	0.00020100297
-0.68546385	4.9616767e-05
-0.68515843	6.3234525e-05
-0.68513936	9.3460854e-05
-0.6850248	0.00021328439
-0.68473846	0.00014398654
-0.68458575	0.0001955304
-0.68439484	0.00010256058
-0.68418485	0.00024599247
-0.68405122	0.00025445584
-0.68386036	0.00022142961
-0.68368852	0.0001584952
-0.68355489	0.00022626581
-0.68342131	0.00034246218
-0.68311584	0.00023975631
-0.68302041	0.00029785448
-0.68296313	0.00028156408
-0.68277222	0.00022403861
-0.68256223	0.00025833756
-0.68242866	0.00013825946
-0.68214232	0.00018095813
-0.68206596	0.00027749146
-0.6819132	0.00017567647
-0.68172234	0.00022200232
-0.68151236	0.00019171234
-0.68134052	0.0001729402
-0.68126416	0.00030097258
-0.68105417	0.00019489406
-0.68101603	0.00015989516
-0.68069148	0.00031917202
-0.68059605	0.00013507775
-0.68032879	0.00031249039
-0.6800043	0.00024847419
-0.6801188	0.00022601128
-0.67979431	0.00031700844
-0.67969882	0.00026234653
-0.67956519	0.00028589123
-0.67937434	0.00022372045
-0.6792025	0.00015244992
-0.67912614	0.00023288379
-0.67897344	0.00014621376
-0.67880166	9.7151657e-05
-0.67864895	0.00027634608
-0.67840075	0.00022594765
-0.67807627	0.00032063559
-0.67817169	0.00030078166
-0.67801899	0.00021576614
-0.67761809	0.00020571191
-0.67757994	0.00023924722
-0.67746538	0.0002786369
-0.67712176	0.0003300535
-0.67708361	0.00045865856
-0.67694998	0.00020367562
-0.67677814	0.00037650659
-0.67660636	0.00041137825
-0.67626274	0.00043759562
-0.67607182	0.00036180706
-0.67616731	0.00039031522
-0.67591912	0.00044211364
-0.67563277	0.00052299298
-0.67549914	0.00047380358
-0.67532736	0.00042779589
-0.67519373	0.00052833825
-0.67504102	0.00045439508
-0.67498374	0.00053603796
-0.67465925	0.00056836422
-0.67467833	0.00049416657
-0.67427742	0.00044319543
-0.67422014	0.00037911558
-0.67408657	0.00039725142
-0.67404836	0.00036874317
-0.6737811	0.00049429381
-0.67374295	0.00047717616
-0.67349476	0.00040030587
-0.67318934	0.00038185186
-0.67311299	0.00033438063
-0.67288393	0.00039292424
-0.67275029	0.00049569376
-0.67259759	0.00035652539
-0.67231125	0.00038115191
-0.67217761	0.000316563
-0.67210126	0.00043581388
-0.67185307	0.00046909461
-0.67177671	0.00049225747
-0.67160493	0.00056009181
-0.67129946	0.00057924568
-0.67124224	0.00049187569
-0.67116588	0.0005542374
-0.67080319	0.00059859059
-0.67063135	0.00064434373
-0.67068863	0.0005810911
-0.67045957	0.00056225533
-0.67032593	0.00057046418
-0.67023045	0.00056931877
-0.67007774	0.00059076352
-0.6697914	0.0006934058
-0.66965777	0.00059890875
-0.66942871	0.00059388165
-0.66931421	0.00058929995
