freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	3.2700485E+001	-1.3520708E+001
7.9201306E+005	2.6611870E+001	5.4772854E+000
6.2729181E+005	1.6814171E+001	7.8700523E+000
4.9682675E+005	1.0894251E+001	5.6557527E+000
3.9349206E+005	9.5007734E+000	2.9691148E+000
3.1165566E+005	8.7401876E+000	1.2972527E+000
2.4683603E+005	8.7020082E+000	6.3905394E-001
1.9549808E+005	8.4570131E+000	3.5092694E-001
1.5483967E+005	8.5555325E+000	9.8066941E-002
1.2263398E+005	8.4622545E+000	-6.3165888E-002
9.7127375E+004	8.4186249E+000	-6.5611139E-002
7.6928070E+004	8.5746813E+000	-1.1117181E-001
6.0922656E+004	8.5483303E+000	-1.4515983E-001
4.8257496E+004	8.5542250E+000	-2.2383253E-001
3.8218152E+004	8.5383854E+000	-2.3816760E-001
3.0266480E+004	8.5469818E+000	-2.3075198E-001
2.3975652E+004	8.6128836E+000	-2.6800466E-001
1.8983816E+004	8.5970039E+000	-2.5663200E-001
1.5040452E+004	8.6518097E+000	-3.0486494E-001
1.1913597E+004	8.6391878E+000	-3.1681809E-001
9.4694131E+003	8.6770515E+000	-3.4196463E-001
7.4693374E+003	8.7254124E+000	-4.1710782E-001
5.9317129E+003	8.7334518E+000	-4.7937280E-001
4.6864995E+003	8.7678719E+000	-5.5321354E-001
3.7111875E+003	8.7874069E+000	-6.6063422E-001
2.9409409E+003	8.8694744E+000	-7.8846353E-001
2.3277656E+003	8.8794403E+000	-9.3425542E-001
1.8432308E+003	8.9553003E+000	-1.1317003E+000
1.4604670E+003	9.0139885E+000	-1.3485193E+000
1.1568507E+003	9.1175747E+000	-1.6163118E+000
9.1646613E+002	9.1845007E+000	-1.9294145E+000
7.2616199E+002	9.2280092E+000	-2.3422246E+000
5.7444849E+002	9.3963337E+000	-2.8422799E+000
4.5514566E+002	9.4885607E+000	-3.4418151E+000
3.6057690E+002	9.6172695E+000	-4.2232747E+000
2.8545676E+002	9.7359304E+000	-5.1339045E+000
2.2623071E+002	9.8888769E+000	-6.3199139E+000
1.7914014E+002	1.0044619E+001	-7.8186903E+000
1.4186119E+002	1.0247280E+001	-9.6689529E+000
1.1233657E+002	1.0543806E+001	-1.1956583E+001
8.9003166E+001	1.0918370E+001	-1.4810326E+001
7.0473572E+001	1.1257020E+001	-1.8382994E+001
5.5803570E+001	1.1738939E+001	-2.2826380E+001
4.4221699E+001	1.2408619E+001	-2.8447144E+001
3.5011204E+001	1.3037126E+001	-3.5180782E+001
2.7703901E+001	1.4111817E+001	-4.3803162E+001
2.1976093E+001	1.5384277E+001	-5.4505489E+001
1.7386868E+001	1.6957829E+001	-6.7627022E+001
1.3786764E+001	1.8911278E+001	-8.3973251E+001
1.0911310E+001	2.1457539E+001	-1.0472989E+002
8.6421471E+000	2.4527447E+001	-1.2962521E+002
6.8410683E+000	2.8691755E+001	-1.6069638E+002
5.4253473E+000	3.4081230E+001	-1.9931775E+002
4.2925820E+000	4.1102440E+001	-2.4730449E+002
3.4041395E+000	4.9802547E+001	-3.0623837E+002
2.6958246E+000	6.0845078E+001	-3.7965106E+002
2.1322324E+000	7.6349525E+001	-4.7047952E+002
1.6910175E+000	9.5556892E+001	-5.8068793E+002
1.3384447E+000	1.2128341E+002	-7.1855310E+002
1.0588914E+000	1.5374770E+002	-8.8787134E+002
8.3951187E-001	1.9664845E+002	-1.0933865E+003
6.6517669E-001	2.5255734E+002	-1.3475833E+003
5.2644879E-001	3.2738208E+002	-1.6586791E+003
4.1680005E-001	4.2660989E+002	-2.0389607E+003
3.3058986E-001	5.5851849E+002	-2.4985430E+003
2.6137504E-001	7.3522687E+002	-3.0629849E+003
2.0703043E-001	9.7298322E+002	-3.7392546E+003
1.6422132E-001	1.2929856E+003	-4.5470977E+003
1.3006528E-001	1.7257869E+003	-5.5109844E+003
1.0285021E-001	2.3162939E+003	-6.6492925E+003
8.1555218E-002	3.1028123E+003	-7.9493833E+003
6.4658560E-002	4.1362632E+003	-9.4290273E+003
5.1140975E-002	5.5189390E+003	-1.1067912E+004
4.0509921E-002	7.2879663E+003	-1.2805730E+004
3.2105546E-002	9.5035195E+003	-1.4573682E+004
2.5420560E-002	1.2217341E+004	-1.6297709E+004
2.0148762E-002	1.5393171E+004	-1.7810617E+004
1.5956154E-002	1.8982672E+004	-1.9041391E+004
1.2632408E-002	2.2790963E+004	-1.9822273E+004
1.0003781E-002	2.6728109E+004	-2.0028533E+004
