freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	5.3907207E+001	-1.9505064E+000
7.9201306E+005	2.7463751E+001	7.6500525E+000
6.2729181E+005	1.7041912E+001	7.9240274E+000
4.9682675E+005	1.1343729E+001	5.6039467E+000
3.9349206E+005	9.3649931E+000	2.8085687E+000
3.1165566E+005	8.7304363E+000	1.3301295E+000
2.4683603E+005	8.3326588E+000	6.8160045E-001
1.9549808E+005	8.5168314E+000	4.5098850E-001
1.5483967E+005	8.3336744E+000	1.7749700E-001
1.2263398E+005	8.4276285E+000	1.3494228E-001
9.7127375E+004	8.2688646E+000	1.0215078E-002
7.6928070E+004	8.3076553E+000	-1.7221478E-001
6.0922656E+004	8.3336277E+000	-1.5975657E-001
4.8257496E+004	8.2646084E+000	-1.4797266E-001
3.8218152E+004	8.3371210E+000	-2.2098047E-001
3.0266480E+004	8.3910809E+000	-1.9767366E-001
2.3975652E+004	8.3993721E+000	-2.0848678E-001
1.8983816E+004	8.4047050E+000	-2.4575455E-001
1.5040452E+004	8.4023256E+000	-2.6913801E-001
1.1913597E+004	8.4253998E+000	-3.1208682E-001
9.4694131E+003	8.4622107E+000	-3.6437929E-001
7.4693374E+003	8.4817467E+000	-3.9983159E-001
5.9317129E+003	8.5278416E+000	-4.6323511E-001
4.6864995E+003	8.5662613E+000	-5.8249879E-001
3.7111875E+003	8.5819111E+000	-6.7191929E-001
2.9409409E+003	8.6404066E+000	-8.1787747E-001
2.3277656E+003	8.7019510E+000	-9.5462096E-001
1.8432308E+003	8.7299633E+000	-1.1384170E+000
1.4604670E+003	8.8390903E+000	-1.3850276E+000
1.1568507E+003	8.9112034E+000	-1.6157988E+000
9.1646613E+002	8.9664326E+000	-1.9665747E+000
7.2616199E+002	9.0364609E+000	-2.4065144E+000
5.7444849E+002	9.1523533E+000	-2.9213793E+000
4.5514566E+002	9.2854233E+000	-3.5447407E+000
3.6057690E+002	9.3868380E+000	-4.3084559E+000
2.8545676E+002	9.5232544E+000	-5.3130040E+000
2.2623071E+002	9.7028503E+000	-6.4761434E+000
1.7914014E+002	9.8333178E+000	-8.0102959E+000
1.4186119E+002	1.0035984E+001	-9.9558725E+000
1.1233657E+002	1.0341689E+001	-1.2353310E+001
8.9003166E+001	1.0660740E+001	-1.5278450E+001
7.0473572E+001	1.1053409E+001	-1.8999372E+001
5.5803570E+001	1.1504100E+001	-2.3619198E+001
4.4221699E+001	1.2111578E+001	-2.9262362E+001
3.5011204E+001	1.2952560E+001	-3.6513416E+001
2.7703901E+001	1.3920005E+001	-4.5412159E+001
2.1976093E+001	1.5005373E+001	-5.6409790E+001
1.7386868E+001	1.6356964E+001	-7.0219749E+001
1.3786764E+001	1.8437378E+001	-8.7114624E+001
1.0911310E+001	2.1080687E+001	-1.0797733E+002
8.6421471E+000	2.4183027E+001	-1.3445912E+002
6.8410683E+000	2.8326799E+001	-1.6703258E+002
5.4253473E+000	3.3868649E+001	-2.0720474E+002
4.2925820E+000	4.0027359E+001	-2.5747012E+002
3.4041395E+000	4.8762531E+001	-3.1905484E+002
2.6958246E+000	6.0118736E+001	-3.9586328E+002
2.1322324E+000	7.3905716E+001	-4.9106769E+002
1.6910175E+000	9.3348557E+001	-6.0746991E+002
1.3384447E+000	1.1711489E+002	-7.5231165E+002
1.0588914E+000	1.4920219E+002	-9.3081378E+002
8.3951187E-001	1.9081499E+002	-1.1508458E+003
6.6517669E-001	2.4420259E+002	-1.4206218E+003
5.2644879E-001	3.1676566E+002	-1.7518633E+003
4.1680005E-001	4.1214838E+002	-2.1597512E+003
3.3058986E-001	5.3994818E+002	-2.6539963E+003
2.6137504E-001	7.1400842E+002	-3.2653452E+003
2.0703043E-001	9.4661432E+002	-3.9999744E+003
1.6422132E-001	1.2629912E+003	-4.8820674E+003
1.3006528E-001	1.6923556E+003	-5.9436978E+003
1.0285021E-001	2.2833518E+003	-7.2125913E+003
8.1555218E-002	3.0757356E+003	-8.6791924E+003
6.4658560E-002	4.1495405E+003	-1.0355829E+004
5.1140975E-002	5.5952529E+003	-1.2238012E+004
4.0509921E-002	7.4627183E+003	-1.4258760E+004
3.2105546E-002	9.8913887E+003	-1.6334693E+004
2.5420560E-002	1.2895840E+004	-1.8392678E+004
2.0148762E-002	1.6433604E+004	-2.0120740E+004
1.5956154E-002	2.0474576E+004	-2.1384336E+004
1.2632408E-002	2.4836938E+004	-2.2106135E+004
1.0003781E-002	2.9281992E+004	-2.2173773E+004
