freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	5.3875134E+001	-5.4474664E+000
7.9201306E+005	2.6856739E+001	6.8789239E+000
6.2729181E+005	1.5709111E+001	8.9257631E+000
4.9682675E+005	1.0996295E+001	5.2776403E+000
3.9349206E+005	9.3789511E+000	2.9437752E+000
3.1165566E+005	8.4936304E+000	1.5134411E+000
2.4683603E+005	8.3631363E+000	7.8047472E-001
1.9549808E+005	8.0737839E+000	4.1883755E-001
1.5483967E+005	8.0748053E+000	2.9881683E-001
1.2263398E+005	8.1645813E+000	1.2480206E-001
9.7127375E+004	7.9570060E+000	1.2480534E-003
7.6928070E+004	8.0314341E+000	-4.6029143E-002
6.0922656E+004	7.9904537E+000	-7.8349337E-002
4.8257496E+004	8.0178356E+000	-1.2959978E-001
3.8218152E+004	7.9975166E+000	-1.6055211E-001
3.0266480E+004	8.0197792E+000	-1.6843581E-001
2.3975652E+004	8.0584993E+000	-2.0118321E-001
1.8983816E+004	8.0493746E+000	-2.5344265E-001
1.5040452E+004	8.0805702E+000	-2.9292905E-001
1.1913597E+004	8.1120768E+000	-3.1636783E-001
9.4694131E+003	8.1372032E+000	-4.0025076E-001
7.4693374E+003	8.1713381E+000	-4.8770893E-001
5.9317129E+003	8.1989861E+000	-5.5318618E-001
4.6864995E+003	8.2278042E+000	-6.7805243E-001
3.7111875E+003	8.2696009E+000	-7.9760325E-001
2.9409409E+003	8.3284559E+000	-9.3132693E-001
2.3277656E+003	8.3709822E+000	-1.1574576E+000
1.8432308E+003	8.4361925E+000	-1.3886800E+000
1.4604670E+003	8.4930735E+000	-1.6743591E+000
1.1568507E+003	8.5805788E+000	-2.0408661E+000
9.1646613E+002	8.6631498E+000	-2.4788506E+000
7.2616199E+002	8.7605181E+000	-3.0179811E+000
5.7444849E+002	8.8419037E+000	-3.6886804E+000
4.5514566E+002	8.9793510E+000	-4.5463367E+000
3.6057690E+002	9.0907612E+000	-5.5961676E+000
2.8545676E+002	9.2342710E+000	-6.9116235E+000
2.2623071E+002	9.4578037E+000	-8.5437927E+000
1.7914014E+002	9.6879110E+000	-1.0574832E+001
1.4186119E+002	9.9798908E+000	-1.3152471E+001
1.1233657E+002	1.0380696E+001	-1.6318207E+001
8.9003166E+001	1.0714446E+001	-2.0276665E+001
7.0473572E+001	1.1383483E+001	-2.5143986E+001
5.5803570E+001	1.2155928E+001	-3.1178942E+001
4.4221699E+001	1.2992817E+001	-3.8702793E+001
3.5011204E+001	1.4282988E+001	-4.7935600E+001
2.7703901E+001	1.5678354E+001	-5.9541496E+001
2.1976093E+001	1.7659851E+001	-7.3815826E+001
1.7386868E+001	1.9997887E+001	-9.1781456E+001
1.3786764E+001	2.3050932E+001	-1.1335103E+002
1.0911310E+001	2.7061247E+001	-1.4098424E+002
8.6421471E+000	3.1905205E+001	-1.7444655E+002
6.8410683E+000	3.8497696E+001	-2.1560710E+002
5.4253473E+000	4.7198219E+001	-2.6706180E+002
4.2925820E+000	5.7753139E+001	-3.3046182E+002
3.4041395E+000	7.2201073E+001	-4.0755994E+002
2.6958246E+000	8.9735809E+001	-5.0272647E+002
2.1322324E+000	1.1409540E+002	-6.2033667E+002
1.6910175E+000	1.4370781E+002	-7.6350006E+002
1.3384447E+000	1.8546259E+002	-9.4082263E+002
1.0588914E+000	2.3766556E+002	-1.1570067E+003
8.3951187E-001	3.0735699E+002	-1.4176555E+003
6.6517669E-001	3.9643103E+002	-1.7362144E+003
5.2644879E-001	5.2009943E+002	-2.1249966E+003
4.1680005E-001	6.8249457E+002	-2.5929307E+003
3.3058986E-001	8.9704926E+002	-3.1502842E+003
2.6137504E-001	1.1866981E+003	-3.8207432E+003
2.0703043E-001	1.5742273E+003	-4.6061216E+003
1.6422132E-001	2.0893926E+003	-5.5122246E+003
1.3006528E-001	2.7737546E+003	-6.5574966E+003
1.0285021E-001	3.6842954E+003	-7.7298643E+003
8.1555218E-002	4.8449375E+003	-8.9802275E+003
6.4658560E-002	6.3300107E+003	-1.0272909E+004
5.1140975E-002	8.1779106E+003	-1.1545530E+004
4.0509921E-002	1.0380010E+004	-1.2662234E+004
3.2105546E-002	1.2895974E+004	-1.3526784E+004
2.5420560E-002	1.5632716E+004	-1.4013870E+004
2.0148762E-002	1.8448117E+004	-1.4080579E+004
1.5956154E-002	2.1190209E+004	-1.3684464E+004
1.2632408E-002	2.3745002E+004	-1.2940676E+004
1.0003781E-002	2.6043803E+004	-1.1995001E+004
