freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	4.9825142E+001	-1.2332406E+001
7.9201306E+005	2.7811935E+001	6.4971189E+000
6.2729181E+005	1.5848371E+001	7.8708315E+000
4.9682675E+005	1.1749759E+001	5.3516970E+000
3.9349206E+005	9.4012403E+000	3.4870415E+000
3.1165566E+005	8.7258673E+000	1.4228501E+000
2.4683603E+005	8.3712034E+000	7.6346517E-001
1.9549808E+005	8.4488802E+000	4.5469826E-001
1.5483967E+005	8.3116350E+000	5.2825507E-002
1.2263398E+005	8.2630720E+000	5.6260895E-002
9.7127375E+004	8.0828123E+000	8.9921188E-003
7.6928070E+004	8.2201109E+000	-4.3567978E-002
6.0922656E+004	8.1603441E+000	-1.6856655E-001
4.8257496E+004	8.2597971E+000	-1.4567898E-001
3.8218152E+004	8.2367296E+000	-1.7005900E-001
3.0266480E+004	8.2755051E+000	-1.3802062E-001
2.3975652E+004	8.3086710E+000	-1.9945969E-001
1.8983816E+004	8.2847986E+000	-2.3986676E-001
1.5040452E+004	8.3346834E+000	-2.7294037E-001
1.1913597E+004	8.3497458E+000	-3.0985317E-001
9.4694131E+003	8.3778820E+000	-3.5194674E-001
7.4693374E+003	8.3892097E+000	-4.3969885E-001
5.9317129E+003	8.4391155E+000	-4.8504129E-001
4.6864995E+003	8.4565163E+000	-5.7286942E-001
3.7111875E+003	8.4901972E+000	-6.8385708E-001
2.9409409E+003	8.5331173E+000	-8.2464129E-001
2.3277656E+003	8.5993633E+000	-9.5902759E-001
1.8432308E+003	8.6575813E+000	-1.1732835E+000
1.4604670E+003	8.7110109E+000	-1.4026517E+000
1.1568507E+003	8.7991600E+000	-1.6752621E+000
9.1646613E+002	8.8793783E+000	-2.0274782E+000
7.2616199E+002	8.9950552E+000	-2.4535389E+000
5.7444849E+002	9.0874176E+000	-2.9833179E+000
4.5514566E+002	9.1843510E+000	-3.6274951E+000
3.6057690E+002	9.3102837E+000	-4.4244432E+000
2.8545676E+002	9.4732714E+000	-5.4588661E+000
2.2623071E+002	9.6057148E+000	-6.7025337E+000
1.7914014E+002	9.7970161E+000	-8.2967701E+000
1.4186119E+002	1.0002325E+001	-1.0235488E+001
1.1233657E+002	1.0290707E+001	-1.2688454E+001
8.9003166E+001	1.0661896E+001	-1.5786882E+001
7.0473572E+001	1.0990481E+001	-1.9527370E+001
5.5803570E+001	1.1514985E+001	-2.4318790E+001
4.4221699E+001	1.2220907E+001	-3.0166941E+001
3.5011204E+001	1.3050514E+001	-3.7545460E+001
2.7703901E+001	1.4178020E+001	-4.6531246E+001
2.1976093E+001	1.5409881E+001	-5.7848976E+001
1.7386868E+001	1.7086479E+001	-7.1887001E+001
1.3786764E+001	1.9349632E+001	-8.9268730E+001
1.0911310E+001	2.2272224E+001	-1.1085392E+002
8.6421471E+000	2.5630077E+001	-1.3755273E+002
6.8410683E+000	3.0306213E+001	-1.7038792E+002
5.4253473E+000	3.5778336E+001	-2.1131364E+002
4.2925820E+000	4.3139034E+001	-2.6222552E+002
3.4041395E+000	5.3187050E+001	-3.2451413E+002
2.6958246E+000	6.5621155E+001	-4.0165744E+002
2.1322324E+000	8.2174377E+001	-4.9748306E+002
1.6910175E+000	1.0312830E+002	-6.1445923E+002
1.3384447E+000	1.3095293E+002	-7.5928754E+002
1.0588914E+000	1.6831999E+002	-9.3696442E+002
8.3951187E-001	2.1553596E+002	-1.1540930E+003
6.6517669E-001	2.7977963E+002	-1.4192059E+003
5.2644879E-001	3.6103265E+002	-1.7456396E+003
4.1680005E-001	4.7392648E+002	-2.1427478E+003
3.3058986E-001	6.2010858E+002	-2.6200681E+003
2.6137504E-001	8.2146277E+002	-3.2059485E+003
2.0703043E-001	1.0907012E+003	-3.9043936E+003
1.6422132E-001	1.4491306E+003	-4.7301030E+003
1.3006528E-001	1.9395920E+003	-5.7069331E+003
1.0285021E-001	2.6079915E+003	-6.8514546E+003
8.1555218E-002	3.4851831E+003	-8.1343970E+003
6.4658560E-002	4.6493789E+003	-9.5578984E+003
5.1140975E-002	6.1762964E+003	-1.1079142E+004
4.0509921E-002	8.1061045E+003	-1.2599939E+004
3.2105546E-002	1.0457925E+004	-1.4017904E+004
2.5420560E-002	1.3243846E+004	-1.5178819E+004
2.0148762E-002	1.6344955E+004	-1.5929206E+004
1.5956154E-002	1.9649447E+004	-1.6222167E+004
1.2632408E-002	2.2948674E+004	-1.5993165E+004
1.0003781E-002	2.5987555E+004	-1.5203608E+004
