freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	5.1309509E+001	-5.5069695E+000
7.9201306E+005	2.5912876E+001	7.0720229E+000
6.2729181E+005	1.6270592E+001	8.7241201E+000
4.9682675E+005	1.0787724E+001	5.2924948E+000
3.9349206E+005	8.9706392E+000	2.9566214E+000
3.1165566E+005	8.3689203E+000	1.5513095E+000
2.4683603E+005	8.2434168E+000	7.6512057E-001
1.9549808E+005	8.1335535E+000	3.9722833E-001
1.5483967E+005	8.0878401E+000	2.8429618E-001
1.2263398E+005	7.9200630E+000	8.3509773E-002
9.7127375E+004	7.9353704E+000	7.2923504E-002
7.6928070E+004	7.9356852E+000	-5.8348779E-002
6.0922656E+004	7.9514470E+000	-4.2943548E-002
4.8257496E+004	7.9224696E+000	-1.2426911E-001
3.8218152E+004	7.9984274E+000	-1.5640822E-001
3.0266480E+004	7.9911995E+000	-1.9125620E-001
2.3975652E+004	8.0132284E+000	-2.3081405E-001
1.8983816E+004	8.0410328E+000	-2.6325426E-001
1.5040452E+004	8.0518351E+000	-3.2554284E-001
1.1913597E+004	8.0874062E+000	-4.0220302E-001
9.4694131E+003	8.1117735E+000	-4.2986897E-001
7.4693374E+003	8.1335783E+000	-5.3597546E-001
5.9317129E+003	8.1892548E+000	-6.1106426E-001
4.6864995E+003	8.1997118E+000	-7.2824031E-001
3.7111875E+003	8.2640963E+000	-8.9478171E-001
2.9409409E+003	8.3070250E+000	-1.0826354E+000
2.3277656E+003	8.3801804E+000	-1.2767204E+000
1.8432308E+003	8.4391260E+000	-1.5433731E+000
1.4604670E+003	8.5273371E+000	-1.9007549E+000
1.1568507E+003	8.6295776E+000	-2.2589486E+000
9.1646613E+002	8.6878748E+000	-2.7567248E+000
7.2616199E+002	8.7985029E+000	-3.3852599E+000
5.7444849E+002	8.8957319E+000	-4.1332493E+000
4.5514566E+002	9.0375853E+000	-5.0857644E+000
3.6057690E+002	9.1925049E+000	-6.2245998E+000
2.8545676E+002	9.3890371E+000	-7.7352462E+000
2.2623071E+002	9.6156187E+000	-9.5586338E+000
1.7914014E+002	9.8580208E+000	-1.1894278E+001
1.4186119E+002	1.0274097E+001	-1.4693641E+001
1.1233657E+002	1.0692330E+001	-1.8230356E+001
8.9003166E+001	1.1196070E+001	-2.2506422E+001
7.0473572E+001	1.1879320E+001	-2.7932383E+001
5.5803570E+001	1.2738496E+001	-3.4756374E+001
4.4221699E+001	1.3829618E+001	-4.3000771E+001
3.5011204E+001	1.5214419E+001	-5.3159729E+001
2.7703901E+001	1.6982773E+001	-6.6153831E+001
2.1976093E+001	1.9297279E+001	-8.1896225E+001
1.7386868E+001	2.2199457E+001	-1.0172454E+002
1.3786764E+001	2.5596739E+001	-1.2563596E+002
1.0911310E+001	3.0757032E+001	-1.5598534E+002
8.6421471E+000	3.6384148E+001	-1.9257275E+002
6.8410683E+000	4.4041668E+001	-2.3800713E+002
5.4253473E+000	5.3912342E+001	-2.9362781E+002
4.2925820E+000	6.6447693E+001	-3.6350946E+002
3.4041395E+000	8.3217369E+001	-4.4763342E+002
2.6958246E+000	1.0477941E+002	-5.5114124E+002
2.1322324E+000	1.3272574E+002	-6.7912341E+002
1.6910175E+000	1.7017857E+002	-8.3391846E+002
1.3384447E+000	2.1724789E+002	-1.0244026E+003
1.0588914E+000	2.8155325E+002	-1.2589543E+003
8.3951187E-001	3.6236975E+002	-1.5381636E+003
6.6517669E-001	4.7138425E+002	-1.8775146E+003
5.2644879E-001	6.2033527E+002	-2.2880210E+003
4.1680005E-001	8.1235901E+002	-2.7828955E+003
3.3058986E-001	1.0702050E+003	-3.3591316E+003
2.6137504E-001	1.4187352E+003	-4.0496914E+003
2.0703043E-001	1.8772056E+003	-4.8451279E+003
1.6422132E-001	2.4799048E+003	-5.7477832E+003
1.3006528E-001	3.2688096E+003	-6.7526167E+003
1.0285021E-001	4.3003750E+003	-7.8440337E+003
8.1555218E-002	5.5866128E+003	-8.9630771E+003
6.4658560E-002	7.1715928E+003	-1.0055708E+004
5.1140975E-002	9.0770752E+003	-1.1049274E+004
4.0509921E-002	1.1254255E+004	-1.1825445E+004
3.2105546E-002	1.3622944E+004	-1.2300223E+004
2.5420560E-002	1.6098946E+004	-1.2424886E+004
2.0148762E-002	1.8530523E+004	-1.2195825E+004
1.5956154E-002	2.0847738E+004	-1.1652750E+004
1.2632408E-002	2.2936654E+004	-1.0844416E+004
1.0003781E-002	2.4747041E+004	-9.8731211E+003
