freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	5.1398590E+001	-5.1129360E+000
7.9201306E+005	2.6379492E+001	8.3833361E+000
6.2729181E+005	1.6342064E+001	8.4186182E+000
4.9682675E+005	1.1259405E+001	5.6141748E+000
3.9349206E+005	9.5714006E+000	2.9084775E+000
3.1165566E+005	8.4746847E+000	1.6273075E+000
2.4683603E+005	8.4090099E+000	8.5702342E-001
1.9549808E+005	8.3114948E+000	4.2509401E-001
1.5483967E+005	8.2252178E+000	1.5008880E-001
1.2263398E+005	8.1568069E+000	4.8495438E-002
9.7127375E+004	8.0922012E+000	4.9369786E-002
7.6928070E+004	8.1102047E+000	-3.4929190E-002
6.0922656E+004	8.0812826E+000	-9.7578339E-002
4.8257496E+004	8.1123285E+000	-1.6579396E-001
3.8218152E+004	8.1276751E+000	-1.6932787E-001
3.0266480E+004	8.1763849E+000	-1.9167307E-001
2.3975652E+004	8.1803684E+000	-2.0338716E-001
1.8983816E+004	8.1742477E+000	-2.6345965E-001
1.5040452E+004	8.2026482E+000	-2.6672438E-001
1.1913597E+004	8.2226896E+000	-3.0400851E-001
9.4694131E+003	8.2620335E+000	-3.6020538E-001
7.4693374E+003	8.2874174E+000	-4.3449083E-001
5.9317129E+003	8.3157730E+000	-5.4886222E-001
4.6864995E+003	8.3393402E+000	-6.3811594E-001
3.7111875E+003	8.3869972E+000	-7.5652820E-001
2.9409409E+003	8.4252682E+000	-8.9677769E-001
2.3277656E+003	8.4798460E+000	-1.0576974E+000
1.8432308E+003	8.5531654E+000	-1.3037668E+000
1.4604670E+003	8.6345758E+000	-1.5854868E+000
1.1568507E+003	8.6854630E+000	-1.9024087E+000
9.1646613E+002	8.7836628E+000	-2.2896450E+000
7.2616199E+002	8.8692884E+000	-2.7651920E+000
5.7444849E+002	8.9970884E+000	-3.4059155E+000
4.5514566E+002	9.1133547E+000	-4.1441908E+000
3.6057690E+002	9.2382240E+000	-5.1104069E+000
2.8545676E+002	9.3549471E+000	-6.2768173E+000
2.2623071E+002	9.5409107E+000	-7.7463956E+000
1.7914014E+002	9.7422991E+000	-9.5766029E+000
1.4186119E+002	1.0030401E+001	-1.1907269E+001
1.1233657E+002	1.0366785E+001	-1.4699404E+001
8.9003166E+001	1.0727853E+001	-1.8321133E+001
7.0473572E+001	1.1228980E+001	-2.2600731E+001
5.5803570E+001	1.1828897E+001	-2.8139492E+001
4.4221699E+001	1.2720576E+001	-3.5052013E+001
3.5011204E+001	1.3672059E+001	-4.3331879E+001
2.7703901E+001	1.5050467E+001	-5.3906105E+001
2.1976093E+001	1.6510031E+001	-6.6701118E+001
1.7386868E+001	1.8882761E+001	-8.3048782E+001
1.3786764E+001	2.1391163E+001	-1.0289970E+002
1.0911310E+001	2.4907425E+001	-1.2728278E+002
8.6421471E+000	2.9150951E+001	-1.5850401E+002
6.8410683E+000	3.4422852E+001	-1.9598347E+002
5.4253473E+000	4.2523251E+001	-2.4236063E+002
4.2925820E+000	5.1488361E+001	-3.0075882E+002
3.4041395E+000	6.2705967E+001	-3.7159769E+002
2.6958246E+000	7.8786263E+001	-4.5970230E+002
2.1322324E+000	9.9654068E+001	-5.6852155E+002
1.6910175E+000	1.2633858E+002	-6.9995947E+002
1.3384447E+000	1.6171596E+002	-8.6290179E+002
1.0588914E+000	2.0683624E+002	-1.0636947E+003
8.3951187E-001	2.6708411E+002	-1.3053756E+003
6.6517669E-001	3.4560449E+002	-1.6023512E+003
5.2644879E-001	4.5103577E+002	-1.9650208E+003
4.1680005E-001	5.9177527E+002	-2.4028491E+003
3.3058986E-001	7.7786798E+002	-2.9282732E+003
2.6137504E-001	1.0306241E+003	-3.5628823E+003
2.0703043E-001	1.3676171E+003	-4.3116616E+003
1.6422132E-001	1.8202096E+003	-5.1872290E+003
1.3006528E-001	2.4247002E+003	-6.2019458E+003
1.0285021E-001	3.2381780E+003	-7.3653633E+003
8.1555218E-002	4.3076133E+003	-8.5838701E+003
6.4658560E-002	5.6551655E+003	-9.9700283E+003
5.1140975E-002	7.3871167E+003	-1.1328654E+004
4.0509921E-002	9.4981318E+003	-1.2588217E+004
3.2105546E-002	1.2058302E+004	-1.3654652E+004
2.5420560E-002	1.4721851E+004	-1.4379961E+004
2.0148762E-002	1.7674059E+004	-1.4715539E+004
1.5956154E-002	2.0643189E+004	-1.4567871E+004
1.2632408E-002	2.3412389E+004	-1.3887088E+004
1.0003781E-002	2.5903467E+004	-1.2902218E+004
