freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	4.7447216E+001	-4.4235692E+000
7.9201306E+005	2.6809118E+001	7.9491701E+000
6.2729181E+005	1.5082176E+001	7.8471127E+000
4.9682675E+005	1.0842026E+001	5.8609471E+000
3.9349206E+005	8.7624874E+000	3.0283809E+000
3.1165566E+005	8.6088409E+000	1.5202335E+000
2.4683603E+005	8.1703978E+000	9.3698472E-001
1.9549808E+005	8.1019764E+000	4.0330431E-001
1.5483967E+005	7.9885945E+000	1.6790803E-001
1.2263398E+005	7.9038587E+000	6.6786855E-002
9.7127375E+004	7.9384036E+000	2.0985186E-002
7.6928070E+004	7.9153156E+000	2.6917956E-003
6.0922656E+004	7.8782215E+000	-1.5344058E-001
4.8257496E+004	7.9136868E+000	-1.5492950E-001
3.8218152E+004	7.9403672E+000	-2.0295684E-001
3.0266480E+004	7.9669099E+000	-2.1019305E-001
2.3975652E+004	7.9866004E+000	-2.4576551E-001
1.8983816E+004	8.0125380E+000	-3.2884425E-001
1.5040452E+004	8.0505037E+000	-3.5919753E-001
1.1913597E+004	8.0653591E+000	-4.7021613E-001
9.4694131E+003	8.0855646E+000	-5.3484368E-001
7.4693374E+003	8.1717691E+000	-6.1160368E-001
5.9317129E+003	8.2002220E+000	-7.5218582E-001
4.6864995E+003	8.2769260E+000	-8.8034129E-001
3.7111875E+003	8.3337574E+000	-1.0435214E+000
2.9409409E+003	8.3790493E+000	-1.2622024E+000
2.3277656E+003	8.4677477E+000	-1.4792831E+000
1.8432308E+003	8.5791626E+000	-1.7586086E+000
1.4604670E+003	8.6556845E+000	-2.1323845E+000
1.1568507E+003	8.7672634E+000	-2.5522597E+000
9.1646613E+002	8.9054899E+000	-3.0870256E+000
7.2616199E+002	9.0298223E+000	-3.7383087E+000
5.7444849E+002	9.1803379E+000	-4.5314255E+000
4.5514566E+002	9.3700609E+000	-5.5514507E+000
3.6057690E+002	9.5682068E+000	-6.7748537E+000
2.8545676E+002	9.7890377E+000	-8.3320971E+000
2.2623071E+002	1.0087868E+001	-1.0231859E+001
1.7914014E+002	1.0400126E+001	-1.2662932E+001
1.4186119E+002	1.0849024E+001	-1.5591356E+001
1.1233657E+002	1.1377888E+001	-1.9306149E+001
8.9003166E+001	1.2069755E+001	-2.3869696E+001
7.0473572E+001	1.2938858E+001	-2.9534081E+001
5.5803570E+001	1.4038596E+001	-3.6480915E+001
4.4221699E+001	1.5279186E+001	-4.5035103E+001
3.5011204E+001	1.7078594E+001	-5.5644611E+001
2.7703901E+001	1.9210201E+001	-6.8765518E+001
2.1976093E+001	2.1938072E+001	-8.4660355E+001
1.7386868E+001	2.5648815E+001	-1.0475913E+002
1.3786764E+001	2.9996229E+001	-1.2895125E+002
1.0911310E+001	3.5582024E+001	-1.5910603E+002
8.6421471E+000	4.3113281E+001	-1.9614795E+002
6.8410683E+000	5.2368454E+001	-2.4116446E+002
5.4253473E+000	6.5109726E+001	-2.9628687E+002
4.2925820E+000	8.1452705E+001	-3.6320700E+002
3.4041395E+000	1.0156322E+002	-4.4494662E+002
2.6958246E+000	1.2877127E+002	-5.4549323E+002
2.1322324E+000	1.6262953E+002	-6.6769257E+002
1.6910175E+000	2.0826851E+002	-8.1462195E+002
1.3384447E+000	2.6774860E+002	-9.9298340E+002
1.0588914E+000	3.4558426E+002	-1.2067832E+003
8.3951187E-001	4.4636572E+002	-1.4613456E+003
6.6517669E-001	5.8054742E+002	-1.7641367E+003
5.2644879E-001	7.5832928E+002	-2.1231077E+003
4.1680005E-001	9.9233282E+002	-2.5399163E+003
3.3058986E-001	1.2942295E+003	-3.0143311E+003
2.6137504E-001	1.6945482E+003	-3.5550471E+003
2.0703043E-001	2.2076091E+003	-4.1442393E+003
1.6422132E-001	2.8521387E+003	-4.7624736E+003
1.3006528E-001	3.6581841E+003	-5.3931177E+003
1.0285021E-001	4.6345366E+003	-5.9938882E+003
8.1555218E-002	5.7646499E+003	-6.5085347E+003
6.4658560E-002	7.0277754E+003	-6.9023594E+003
5.1140975E-002	8.4065156E+003	-7.1307671E+003
4.0509921E-002	9.8103359E+003	-7.1795928E+003
3.2105546E-002	1.1193014E+004	-7.0452544E+003
2.5420560E-002	1.2493484E+004	-6.7452402E+003
2.0148762E-002	1.3688037E+004	-6.3436465E+003
1.5956154E-002	1.4743293E+004	-5.8573584E+003
1.2632408E-002	1.5647454E+004	-5.3224819E+003
1.0003781E-002	1.6472492E+004	-4.8130220E+003
