freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.5724754E+004	-4.0440249E+003
1.2632408E-002	1.5221781E+004	-4.2316855E+003
1.5956154E-002	1.4736407E+004	-4.5299888E+003
2.0148762E-002	1.4171808E+004	-4.9292256E+003
2.5420560E-002	1.3479410E+004	-5.4301001E+003
3.2105546E-002	1.2601563E+004	-5.9863013E+003
4.0509921E-002	1.1512722E+004	-6.5208481E+003
5.1140975E-002	1.0207164E+004	-6.9222632E+003
6.4658560E-002	8.7515420E+003	-7.1007788E+003
8.1555218E-002	7.2666099E+003	-7.0239185E+003
1.0285021E-001	5.8893662E+003	-6.6790630E+003
1.3006528E-001	4.6427295E+003	-6.1496030E+003
1.6422132E-001	3.6032151E+003	-5.5156479E+003
2.0703043E-001	2.7696309E+003	-4.8427935E+003
2.6137504E-001	2.1103125E+003	-4.1756313E+003
3.3058986E-001	1.6004237E+003	-3.5502371E+003
4.1680005E-001	1.2178413E+003	-2.9928118E+003
5.2644879E-001	9.2940912E+002	-2.4985894E+003
6.6517669E-001	7.1092737E+002	-2.0735974E+003
8.3951187E-001	5.5206232E+002	-1.7109055E+003
1.0588914E+000	4.3201715E+002	-1.4092861E+003
1.6910175E+000	2.7439105E+002	-9.4318860E+002
2.6958246E+000	1.8797458E+002	-6.2690533E+002
4.2925820E+000	1.3804677E+002	-4.1770444E+002
6.8410683E+000	1.1004733E+002	-2.7897852E+002
1.0911310E+001	8.9999207E+001	-1.9087253E+002
1.7386868E+001	7.4802773E+001	-1.3438454E+002
2.7703901E+001	6.1186520E+001	-9.8106171E+001
4.4221699E+001	4.7849808E+001	-7.3836403E+001
7.0473572E+001	3.5764061E+001	-5.5914703E+001
1.1233657E+002	2.5881035E+001	-4.1426697E+001
1.7914014E+002	1.8839581E+001	-2.9799015E+001
2.8545676E+002	1.4391526E+001	-2.0869751E+001
4.5514566E+002	1.1651133E+001	-1.4337634E+001
7.2616199E+002	1.0050924E+001	-9.7296190E+000
1.1568507E+003	9.1061573E+000	-6.6274748E+000
1.8432308E+003	8.4977694E+000	-4.5294538E+000
2.9409409E+003	8.0854292E+000	-3.1400497E+000
4.6864995E+003	7.7689848E+000	-2.2094626E+000
7.4706157E+003	7.5129762E+000	-1.5796696E+000
1.1913597E+004	7.3100858E+000	-1.1382895E+000
1.8983816E+004	7.1643028E+000	-8.2401484E-001
3.0266480E+004	7.0548372E+000	-5.9940040E-001
4.8257496E+004	6.9679799E+000	-4.2296782E-001
