freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.0833979E+004	-8.6961639E+002
1.2632408E-002	1.0755081E+004	-1.0978398E+003
1.5956154E-002	1.0676471E+004	-1.3693187E+003
2.0148762E-002	1.0572113E+004	-1.6683209E+003
2.5420560E-002	1.0394330E+004	-1.9949918E+003
3.2105546E-002	1.0116420E+004	-2.3207390E+003
4.0509921E-002	9.7840400E+003	-2.6522620E+003
5.1140975E-002	9.3871973E+003	-2.9869944E+003
6.4658560E-002	8.9186738E+003	-3.3270813E+003
8.1555218E-002	8.3688516E+003	-3.6690708E+003
1.0285021E-001	7.7386416E+003	-4.0074343E+003
1.3006528E-001	6.9869297E+003	-4.3295811E+003
1.6422132E-001	6.1234282E+003	-4.5680557E+003
2.0703043E-001	5.1674546E+003	-4.6670381E+003
2.6137504E-001	4.1783052E+003	-4.5868428E+003
3.3058986E-001	3.2385212E+003	-4.3186772E+003
4.1680005E-001	2.4315933E+003	-3.9155286E+003
5.2644879E-001	1.7783167E+003	-3.4357346E+003
6.6517669E-001	1.2792460E+003	-2.9371938E+003
8.3951187E-001	9.1648279E+002	-2.4691746E+003
1.0588914E+000	6.5718768E+002	-2.0490486E+003
1.6910175E+000	3.4014963E+002	-1.3732488E+003
2.6958246E+000	1.8500992E+002	-9.0665924E+002
4.2925820E+000	1.0669022E+002	-5.9355713E+002
6.8410683E+000	6.2589268E+001	-3.8682217E+002
1.0911310E+001	4.1872147E+001	-2.5155109E+002
1.7386868E+001	2.8365221E+001	-1.6364398E+002
2.7703901E+001	2.0488098E+001	-1.0614481E+002
4.4221699E+001	1.5875443E+001	-6.8759018E+001
7.0473572E+001	1.2859936E+001	-4.4697338E+001
1.1233657E+002	1.1018689E+001	-2.9027843E+001
1.7914014E+002	9.7882261E+000	-1.8889473E+001
2.8545676E+002	8.9889212E+000	-1.2354091E+001
4.5514566E+002	8.4337263E+000	-8.1291504E+000
7.2616199E+002	8.0408888E+000	-5.4033537E+000
1.1568507E+003	7.7284083E+000	-3.6465509E+000
1.8432308E+003	7.4853802E+000	-2.5016022E+000
2.9409409E+003	7.2674599E+000	-1.7414417E+000
4.6864995E+003	7.0876193E+000	-1.2252833E+000
7.4706157E+003	6.9650722E+000	-8.7033886E-001
1.1913597E+004	6.8565769E+000	-6.2386149E-001
1.8983816E+004	6.7766504E+000	-4.5650432E-001
3.0266480E+004	6.7054048E+000	-3.2329169E-001
4.8257496E+004	6.6635256E+000	-2.2231920E-001
