freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.3337822E+004	-3.0090601E+003
1.2632408E-002	1.2967614E+004	-3.1053130E+003
1.5956154E-002	1.2613583E+004	-3.2473281E+003
2.0148762E-002	1.2260514E+004	-3.4757415E+003
2.5420560E-002	1.1868300E+004	-3.8108989E+003
3.2105546E-002	1.1377055E+004	-4.2456880E+003
4.0509921E-002	1.0729630E+004	-4.7538169E+003
5.1140975E-002	9.8806787E+003	-5.2627520E+003
6.4658560E-002	8.8235850E+003	-5.6906470E+003
8.1555218E-002	7.6199482E+003	-5.9279482E+003
1.0285021E-001	6.3626299E+003	-5.9288530E+003
1.3006528E-001	5.1349243E+003	-5.6939634E+003
1.6422132E-001	4.0449707E+003	-5.2770303E+003
2.0703043E-001	3.1326816E+003	-4.7472910E+003
2.6137504E-001	2.3923613E+003	-4.1706797E+003
3.3058986E-001	1.8098947E+003	-3.5930322E+003
4.1680005E-001	1.3706820E+003	-3.0585405E+003
5.2644879E-001	1.0380138E+003	-2.5729556E+003
6.6517669E-001	7.8817261E+002	-2.1457139E+003
8.3951187E-001	6.0406604E+002	-1.7791519E+003
1.0588914E+000	4.6569641E+002	-1.4695183E+003
1.6910175E+000	2.8802518E+002	-9.8814893E+002
2.6958246E+000	1.8910898E+002	-6.5901880E+002
4.2925820E+000	1.3261536E+002	-4.3785330E+002
6.8410683E+000	1.0181348E+002	-2.9214117E+002
1.0911310E+001	8.0989349E+001	-1.9749197E+002
1.7386868E+001	6.6307480E+001	-1.3686021E+002
2.7703901E+001	5.3684582E+001	-9.7694695E+001
4.4221699E+001	4.2151920E+001	-7.1704086E+001
7.0473572E+001	3.1700260E+001	-5.3151680E+001
1.1233657E+002	2.3191280E+001	-3.8906322E+001
1.7914014E+002	1.7105753E+001	-2.7656790E+001
2.8545676E+002	1.3164296E+001	-1.9202871E+001
4.5514566E+002	1.0885866E+001	-1.3155232E+001
7.2616199E+002	9.5086069E+000	-8.9212017E+000
1.1568507E+003	8.6644678E+000	-6.0364165E+000
1.8432308E+003	8.1434927E+000	-4.1283150E+000
2.9409409E+003	7.7576594E+000	-2.8691592E+000
4.6864995E+003	7.4776182E+000	-2.0149086E+000
7.4706157E+003	7.2425795E+000	-1.4343960E+000
1.1913597E+004	7.0709662E+000	-1.0322688E+000
1.8983816E+004	6.9400196E+000	-7.3390031E-001
3.0266480E+004	6.8378444E+000	-5.3370672E-001
4.8257496E+004	6.7706151E+000	-3.7953800E-001
