freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.6945367E+004	-4.7601597E+003
1.2632408E-002	1.6363290E+004	-5.0353662E+003
1.5956154E-002	1.5737470E+004	-5.4380293E+003
2.0148762E-002	1.5002074E+004	-5.9540229E+003
2.5420560E-002	1.4080384E+004	-6.5368638E+003
3.2105546E-002	1.2914584E+004	-7.1097480E+003
4.0509921E-002	1.1533286E+004	-7.5707573E+003
5.1140975E-002	9.9798838E+003	-7.8106528E+003
6.4658560E-002	8.3587744E+003	-7.7683599E+003
8.1555218E-002	6.8156768E+003	-7.4437202E+003
1.0285021E-001	5.4322573E+003	-6.9042979E+003
1.3006528E-001	4.2422783E+003	-6.2258882E+003
1.6422132E-001	3.2762393E+003	-5.4938149E+003
2.0703043E-001	2.5163008E+003	-4.7665874E+003
2.6137504E-001	1.9211338E+003	-4.0760818E+003
3.3058986E-001	1.4625142E+003	-3.4422161E+003
4.1680005E-001	1.1185859E+003	-2.8884822E+003
5.2644879E-001	8.5959210E+002	-2.4043345E+003
6.6517669E-001	6.6385828E+002	-1.9894542E+003
8.3951187E-001	5.1699158E+002	-1.6401050E+003
1.0588914E+000	4.1080008E+002	-1.3496260E+003
1.6910175E+000	2.6825986E+002	-9.0002478E+002
2.6958246E+000	1.8903546E+002	-5.9855566E+002
4.2925820E+000	1.4364282E+002	-3.9873721E+002
6.8410683E+000	1.1504159E+002	-2.6767633E+002
1.0911310E+001	9.5988571E+001	-1.8509676E+002
1.7386868E+001	8.0513161E+001	-1.3172816E+002
2.7703901E+001	6.6376099E+001	-9.7841576E+001
4.4221699E+001	5.1856319E+001	-7.4780334E+001
7.0473572E+001	3.8627323E+001	-5.7372547E+001
1.1233657E+002	2.7910551E+001	-4.2932159E+001
1.7914014E+002	2.0214409E+001	-3.1149607E+001
2.8545676E+002	1.5189348E+001	-2.1932728E+001
4.5514566E+002	1.2239141E+001	-1.5144852E+001
7.2616199E+002	1.0462627E+001	-1.0333561E+001
1.1568507E+003	9.4104662E+000	-7.0326786E+000
1.8432308E+003	8.7392883E+000	-4.8170452E+000
2.9409409E+003	8.2962275E+000	-3.3407705E+000
4.6864995E+003	7.9507718E+000	-2.3547227E+000
7.4706157E+003	7.6821318E+000	-1.6779120E+000
1.1913597E+004	7.4714742E+000	-1.2222940E+000
1.8983816E+004	7.3102160E+000	-8.8393492E-001
3.0266480E+004	7.1813936E+000	-6.4503163E-001
4.8257496E+004	7.0956540E+000	-4.6684232E-001
