freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.2226879E+004	-2.3328003E+003
1.2632408E-002	1.1898604E+004	-2.3341704E+003
1.5956154E-002	1.1615043E+004	-2.3422346E+003
2.0148762E-002	1.1411547E+004	-2.4251758E+003
2.5420560E-002	1.1222167E+004	-2.5942253E+003
3.2105546E-002	1.1005656E+004	-2.8855259E+003
4.0509921E-002	1.0711247E+004	-3.3027241E+003
5.1140975E-002	1.0282248E+004	-3.8385908E+003
6.4658560E-002	9.6501445E+003	-4.4364814E+003
8.1555218E-002	8.7799648E+003	-4.9890303E+003
1.0285021E-001	7.7018071E+003	-5.3942769E+003
1.3006528E-001	6.4764019E+003	-5.5658970E+003
1.6422132E-001	5.2538501E+003	-5.4760039E+003
2.0703043E-001	4.1342285E+003	-5.1587700E+003
2.6137504E-001	3.1674065E+003	-4.6879004E+003
3.3058986E-001	2.3827671E+003	-4.1341919E+003
4.1680005E-001	1.7801371E+003	-3.5747986E+003
5.2644879E-001	1.3240588E+003	-3.0361482E+003
6.6517669E-001	9.8335657E+002	-2.5467393E+003
8.3951187E-001	7.3444281E+002	-2.1189941E+003
1.0588914E+000	5.5257623E+002	-1.7544686E+003
1.6910175E+000	3.1944611E+002	-1.1796135E+003
2.6958246E+000	1.9549628E+002	-7.8506067E+002
4.2925820E+000	1.2704604E+002	-5.1945599E+002
6.8410683E+000	8.8936310E+001	-3.4292813E+002
1.0911310E+001	6.6394882E+001	-2.2721248E+002
1.7386868E+001	5.1421375E+001	-1.5317081E+002
2.7703901E+001	4.0634716E+001	-1.0473298E+002
4.4221699E+001	3.1612371E+001	-7.2865204E+001
7.0473572E+001	2.4052691E+001	-5.1206085E+001
1.1233657E+002	1.8132723E+001	-3.5744377E+001
1.7914014E+002	1.4101504E+001	-2.4600227E+001
2.8545676E+002	1.1502633E+001	-1.6676752E+001
4.5514566E+002	9.9538555E+000	-1.1232917E+001
7.2616199E+002	9.0023298E+000	-7.5268373E+000
1.1568507E+003	8.4041481E+000	-5.0943270E+000
1.8432308E+003	7.9990149E+000	-3.4963684E+000
2.9409409E+003	7.6843209E+000	-2.4264026E+000
4.6864995E+003	7.4368277E+000	-1.7096965E+000
7.4706157E+003	7.2603316E+000	-1.2035372E+000
1.1913597E+004	7.1104240E+000	-8.5637182E-001
1.8983816E+004	7.0092878E+000	-6.2050581E-001
3.0266480E+004	6.9147115E+000	-4.3440816E-001
4.8257496E+004	6.8652725E+000	-2.9928651E-001
