freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.7379066E+004	-5.2665654E+003
1.2632408E-002	1.6721377E+004	-5.6089185E+003
1.5956154E-002	1.5974342E+004	-6.0694019E+003
2.0148762E-002	1.5090321E+004	-6.6295181E+003
2.5420560E-002	1.3985929E+004	-7.1997676E+003
3.2105546E-002	1.2630370E+004	-7.6999946E+003
4.0509921E-002	1.1099118E+004	-8.0245303E+003
5.1140975E-002	9.4531641E+003	-8.0893926E+003
6.4658560E-002	7.8156792E+003	-7.8606685E+003
8.1555218E-002	6.3174976E+003	-7.4007954E+003
1.0285021E-001	5.0038018E+003	-6.7744741E+003
1.3006528E-001	3.8985137E+003	-6.0436777E+003
1.6422132E-001	3.0110293E+003	-5.2905996E+003
2.0703043E-001	2.3165396E+003	-4.5651304E+003
2.6137504E-001	1.7738833E+003	-3.8868394E+003
3.3058986E-001	1.3559762E+003	-3.2738237E+003
4.1680005E-001	1.0421906E+003	-2.7426711E+003
5.2644879E-001	8.0423346E+002	-2.2800315E+003
6.6517669E-001	6.2587250E+002	-1.8838306E+003
8.3951187E-001	4.9138022E+002	-1.5519808E+003
1.0588914E+000	3.9095255E+002	-1.2743721E+003
1.6910175E+000	2.6109305E+002	-8.5019806E+002
2.6958246E+000	1.8827280E+002	-5.6541278E+002
4.2925820E+000	1.4617590E+002	-3.7893231E+002
6.8410683E+000	1.1867094E+002	-2.5540007E+002
1.0911310E+001	1.0017548E+002	-1.7748129E+002
1.7386868E+001	8.4519501E+001	-1.2788265E+002
2.7703901E+001	6.9411911E+001	-9.6111641E+001
4.4221699E+001	5.4325897E+001	-7.4295265E+001
7.0473572E+001	4.0491737E+001	-5.7444981E+001
1.1233657E+002	2.9267321E+001	-4.3477478E+001
1.7914014E+002	2.1286833E+001	-3.1788740E+001
2.8545676E+002	1.5962239E+001	-2.2647305E+001
4.5514566E+002	1.2689121E+001	-1.5706345E+001
7.2616199E+002	1.0735749E+001	-1.0783265E+001
1.1568507E+003	9.5659428E+000	-7.3798337E+000
1.8432308E+003	8.8393393E+000	-5.0678997E+000
2.9409409E+003	8.3457127E+000	-3.5262258E+000
4.6864995E+003	7.9829321E+000	-2.4874570E+000
7.4706157E+003	7.6985760E+000	-1.7871788E+000
1.1913597E+004	7.4690585E+000	-1.2887870E+000
1.8983816E+004	7.2945824E+000	-9.3745631E-001
3.0266480E+004	7.1556911E+000	-6.8902844E-001
4.8257496E+004	7.0553255E+000	-4.8998016E-001
