freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.1554202E+004	-2.0046064E+003
1.2632408E-002	1.1225310E+004	-2.0870085E+003
1.5956154E-002	1.0925226E+004	-2.1546287E+003
2.0148762E-002	1.0623390E+004	-2.1964087E+003
2.5420560E-002	1.0371692E+004	-2.2630190E+003
3.2105546E-002	1.0161650E+004	-2.3959534E+003
4.0509921E-002	9.9552236E+003	-2.6247297E+003
5.1140975E-002	9.7080264E+003	-2.9675852E+003
6.4658560E-002	9.3425029E+003	-3.4254146E+003
8.1555218E-002	8.8164834E+003	-3.9570967E+003
1.0285021E-001	8.0689692E+003	-4.4786436E+003
1.3006528E-001	7.0977310E+003	-4.8942954E+003
1.6422132E-001	5.9876743E+003	-5.1029009E+003
2.0703043E-001	4.8536074E+003	-5.0561914E+003
2.6137504E-001	3.7879548E+003	-4.7839424E+003
3.3058986E-001	2.8700139E+003	-4.3440220E+003
4.1680005E-001	2.1428789E+003	-3.8323818E+003
5.2644879E-001	1.5768994E+003	-3.2992378E+003
6.6517669E-001	1.1560656E+003	-2.7909006E+003
8.3951187E-001	8.4790137E+002	-2.3340725E+003
1.0588914E+000	6.2556049E+002	-1.9351085E+003
1.6910175E+000	3.4504733E+002	-1.3039482E+003
2.6958246E+000	1.9958827E+002	-8.6723669E+002
4.2925820E+000	1.2086036E+002	-5.7324255E+002
6.8410683E+000	7.8749588E+001	-3.7636072E+002
1.0911310E+001	5.4352051E+001	-2.4644724E+002
1.7386868E+001	4.0410957E+001	-1.6228726E+002
2.7703901E+001	3.0940754E+001	-1.0767235E+002
4.4221699E+001	2.4266979E+001	-7.2234566E+001
7.0473572E+001	1.9108772E+001	-4.8994370E+001
1.1233657E+002	1.5203641E+001	-3.3274750E+001
1.7914014E+002	1.2381437E+001	-2.2481655E+001
2.8545676E+002	1.0506285E+001	-1.5093078E+001
4.5514566E+002	9.3441629E+000	-1.0068078E+001
7.2616199E+002	8.6109467E+000	-6.7133632E+000
1.1568507E+003	8.1468525E+000	-4.5420585E+000
1.8432308E+003	7.8015122E+000	-3.1049273E+000
2.9409409E+003	7.5384774E+000	-2.1538169E+000
4.6864995E+003	7.3231969E+000	-1.5124958E+000
7.4706157E+003	7.1534462E+000	-1.0740013E+000
1.1913597E+004	7.0263467E+000	-7.6560503E-001
1.8983816E+004	6.9319763E+000	-5.4611647E-001
3.0266480E+004	6.8639240E+000	-3.8396880E-001
4.8257496E+004	6.8050504E+000	-2.5908241E-001
