Ewe/V	I/mA	
-6.1822128E-001	-4.6553384E-003
-6.1808765E-001	-1.7167305E-003
-6.1789668E-001	-1.6726375E-003
-6.1768669E-001	-1.4654073E-003
-6.1762941E-001	-1.4789597E-003
-6.1741936E-001	-1.5563926E-003
-6.1726660E-001	-1.3528526E-003
-6.1705655E-001	-1.4443470E-003
-6.1694199E-001	-1.6218639E-003
-6.1684650E-001	-1.4578357E-003
-6.1659831E-001	-1.5126815E-003
-6.1640733E-001	-1.5371776E-003
-6.1625457E-001	-1.6333166E-003
-6.1610180E-001	-1.4970293E-003
-6.1602545E-001	-1.4189602E-003
-6.1573905E-001	-1.7358819E-003
-6.1566263E-001	-1.3247299E-003
-6.1541444E-001	-1.4024809E-003
-6.1531895E-001	-1.7355636E-003
-6.1520439E-001	-1.3382187E-003
-6.1499435E-001	-1.3127046E-003
-6.1461246E-001	-1.5071461E-003
-6.1461246E-001	-1.2628216E-003
-6.1447883E-001	-1.3816116E-003
-6.1417329E-001	-1.0322406E-003
-6.1419237E-001	-1.2609130E-003
-6.1402053E-001	-1.2499057E-003
-6.1373413E-001	-7.6901924E-004
-6.1358136E-001	-1.2354624E-003
-6.1337131E-001	-1.2040311E-003
-6.1321855E-001	-4.4987054E-004
-6.1306584E-001	-1.1236076E-003
-6.1285579E-001	-1.1666190E-003
-6.1279851E-001	-7.4140547E-004
-6.1262667E-001	-1.1101826E-003
-6.1241663E-001	-9.2013122E-004
-6.1222565E-001	-1.2148476E-003
-6.1216837E-001	-1.1858976E-003
-6.1193925E-001	-1.0424207E-003
-6.1171013E-001	-1.7237930E-003
-6.1159557E-001	-1.1019749E-003
-6.1146188E-001	-1.0536190E-003
-6.1111820E-001	-2.0990600E-003
-6.1115634E-001	-1.0389213E-003
-6.1081266E-001	-9.4227318E-004
-6.1073631E-001	-1.9230063E-003
-6.1054534E-001	-9.8515721E-004
-6.1041170E-001	-8.8672759E-004
-6.1020166E-001	-1.4073802E-003
-6.1010617E-001	-9.1675908E-004
-6.0981977E-001	-9.5442572E-004
-6.0960972E-001	-6.6268600E-005
-6.0955244E-001	-8.0070505E-004
-6.0926604E-001	-8.1692974E-004
-6.0909420E-001	9.0498442E-004
-6.0917056E-001	-8.9302653E-004
-6.0897958E-001	-9.1803161E-004
-6.0861683E-001	1.3847254E-003
-6.0855955E-001	-7.3453382E-004
-6.0842586E-001	-9.2763919E-004
-6.0825402E-001	5.1393814E-004
-6.0815853E-001	-6.8000628E-004
-6.0794848E-001	-6.8547815E-004
-6.0785306E-001	-6.7224388E-004
-6.0762393E-001	-7.6055701E-004
-6.0735661E-001	-6.7930639E-004
-6.0733747E-001	-7.5177656E-004
-6.0716563E-001	-6.6772639E-004
-6.0697472E-001	-7.1570050E-004
-6.0680282E-001	-6.5970956E-004
-6.0661191E-001	-6.9489481E-004
-6.0644007E-001	-6.6015491E-004
-6.0630637E-001	-6.7141675E-004
-6.0617274E-001	-6.2566955E-004
-6.0594362E-001	-5.8927538E-004
-6.0571444E-001	-6.1097194E-004
-6.0575265E-001	-6.0410029E-004
-6.0529441E-001	-5.6077092E-004
-6.0537076E-001	-5.2475848E-004
-6.0504615E-001	-6.7733397E-004
-6.0489339E-001	-5.5065437E-004
-6.0470247E-001	-4.5209742E-004
-6.0464519E-001	-4.7742066E-004
