Ewe/V	I/mA	
-6.4575547E-001	-6.5835207E-003
-6.4564091E-001	-1.1896515E-003
-6.4544994E-001	-1.0123255E-003
-6.4518261E-001	-9.4978104E-004
-6.4504898E-001	-9.2382159E-004
-6.4495349E-001	-8.7451132E-004
-6.4480072E-001	-7.7748153E-004
-6.4470530E-001	-8.7056652E-004
-6.4441884E-001	-8.5396011E-004
-6.4418972E-001	-7.7391841E-004
-6.4418972E-001	-8.5625070E-004
-6.4390332E-001	-8.0515881E-004
-6.4365506E-001	-7.6081144E-004
-6.4359778E-001	-6.8178779E-004
-6.4342594E-001	-8.9824392E-004
-6.4312047E-001	-7.5521233E-004
-6.4308226E-001	-8.0916728E-004
-6.4292949E-001	-7.6488347E-004
-6.4281493E-001	-7.2149048E-004
-6.4258581E-001	-7.7379117E-004
-6.4243305E-001	-7.0214813E-004
-6.4216572E-001	-6.1345333E-004
-6.4208937E-001	-6.8528723E-004
-6.4199388E-001	-6.3184131E-004
-6.4172655E-001	-6.9094996E-004
-6.4170748E-001	-6.7224388E-004
-6.4145923E-001	-6.4552092E-004
-6.4124918E-001	-6.5621006E-004
-6.4107734E-001	-5.8157666E-004
-6.4109641E-001	-6.2217016E-004
-6.4086729E-001	-6.1968871E-004
-6.4052361E-001	-5.9264764E-004
-6.4035177E-001	-6.1784353E-004
-6.4027536E-001	-5.6299783E-004
-6.4014173E-001	-5.4327369E-004
-6.3998896E-001	-5.3309352E-004
-6.3968343E-001	-4.7563916E-004
-6.3970256E-001	-5.0897925E-004
-6.3943523E-001	-5.1725062E-004
-6.3928246E-001	-4.7188517E-004
-6.3907242E-001	-5.9411104E-004
-6.3888150E-001	-5.2628556E-004
-6.3874781E-001	-3.9966955E-004
-6.3859504E-001	-5.0096231E-004
-6.3846141E-001	-4.4369881E-004
-6.3830864E-001	-2.7330805E-004
-6.3813680E-001	-3.8999831E-004
-6.3794583E-001	-4.8270161E-004
-6.3777399E-001	-3.6881087E-004
-6.3750666E-001	-4.1983899E-004
-6.3754487E-001	-4.3752708E-004
-6.3722026E-001	-3.1740093E-004
-6.3708663E-001	-3.9858787E-004
-6.3702929E-001	-3.7701862E-004
-6.3668561E-001	-3.7065602E-004
-6.3664740E-001	-3.8293586E-004
-6.3647556E-001	-3.6715658E-004
-6.3626552E-001	-2.3805915E-004
-6.3611281E-001	-4.3644541E-004
-6.3601732E-001	-3.6143020E-004
-6.3571179E-001	-2.0051972E-004
-6.3553995E-001	-2.9583168E-004
-6.3542539E-001	-3.2592681E-004
-6.3517714E-001	-8.0584476E-005
-6.3513899E-001	-3.5392234E-004
-6.3494802E-001	-3.0143079E-004
-6.3481438E-001	-1.2162333E-004
-6.3468069E-001	-2.9284126E-004
-6.3454705E-001	-1.9186658E-004
-6.3416517E-001	-4.6608115E-005
-6.3403147E-001	-1.7863234E-004
-6.3391691E-001	-2.5243865E-004
-6.3363051E-001	-1.2989473E-004
-6.3364959E-001	-1.6552536E-004
-6.3343954E-001	-2.1095440E-004
-6.3328683E-001	-2.7617122E-004
-6.3330591E-001	-1.6546174E-004
-6.3292402E-001	-2.0866387E-004
-6.3269490E-001	-2.2234350E-004
-6.3254213E-001	-1.5566332E-004
-6.3246572E-001	-1.7207886E-004
-6.3225573E-001	5.9774778E-005
-6.3212204E-001	-1.8906704E-004
-6.3191199E-001	-9.9163291E-005
-6.3164467E-001	9.0243935E-004
-6.3172108E-001	-1.1328830E-004
-6.3151103E-001	-1.1952367E-004
-6.3126278E-001	1.3261894E-003
-6.3112915E-001	-3.2928503E-005
-6.3095731E-001	-7.2503957E-005
-6.3072819E-001	1.4360717E-003
-6.3053721E-001	-1.1220666E-004
-6.3038445E-001	-1.1137952E-004
-6.3023168E-001	2.6942292E-004
-6.3023168E-001	-4.7689762E-005
-6.2992620E-001	-5.4116001E-005
-6.2984979E-001	-4.4699333E-005
-6.2952518E-001	-4.7371628E-005
-6.2937248E-001	-4.6735371E-005
-6.2931520E-001	5.0167229E-005
-6.2906694E-001	-1.4476923E-005
-6.2895238E-001	3.5533219E-005
-6.2879962E-001	2.0899208E-005
-6.2870413E-001	4.9290484E-006
-6.2834138E-001	1.5236483E-005
-6.2830317E-001	6.9382324E-005
-6.2816948E-001	-5.1875068E-006
-6.2797856E-001	8.6752261E-005
-6.2776852E-001	4.4836647E-006
-6.2776852E-001	-2.2466857E-007
-6.2734842E-001	3.9732546E-005
-6.2729114E-001	9.4578281E-005
-6.2713838E-001	3.6296733E-005
-6.2694746E-001	1.0393131E-004
-6.2690926E-001	3.1970154E-005
-6.2666106E-001	7.3263516E-005
-6.2645102E-001	1.2893639E-004
-6.2631732E-001	1.2473707E-004
-6.2612641E-001	9.2351358E-005
-6.2595457E-001	1.3911657E-004
-6.2582088E-001	1.2403716E-004
-6.2568724E-001	4.0623312E-005
-6.2541991E-001	2.2431198E-004
-6.2532443E-001	2.1285928E-004
-6.2519079E-001	1.9370779E-004
-6.2494254E-001	1.9211715E-004
-6.2494254E-001	1.2849101E-004
-6.2471342E-001	2.7247696E-004
-6.2436974E-001	2.3544654E-004
-6.2431246E-001	2.5052592E-004
-6.2414056E-001	3.2566840E-004
-6.2387323E-001	2.3099272E-004
-6.2381595E-001	1.6176747E-004
-6.2366325E-001	2.4753550E-004
-6.2328136E-001	2.2393023E-004
-6.2349135E-001	2.9869092E-004
-6.2303311E-001	2.1120498E-004
-6.2280399E-001	2.9226468E-004
-6.2268943E-001	3.4252935E-004
