Ewe/V	I/mA	
-6.3605553E-001	-6.8660663E-003
-6.3611281E-001	-1.4356938E-003
-6.3592184E-001	-1.4052169E-003
-6.3573092E-001	-1.2654302E-003
-6.3555902E-001	-1.3335739E-003
-6.3534904E-001	-1.2792372E-003
-6.3515806E-001	-1.1484218E-003
-6.3500530E-001	-1.2005316E-003
-6.3483346E-001	-1.1369692E-003
-6.3466161E-001	-1.1092918E-003
-6.3450885E-001	-1.1227806E-003
-6.3431793E-001	-1.1774990E-003
-6.3418424E-001	-1.0072355E-003
-6.3399333E-001	-1.1288887E-003
-6.3380235E-001	-1.1157180E-003
-6.3357323E-001	-1.0605543E-003
-6.3357323E-001	-1.1223988E-003
-6.3319135E-001	-9.4456371E-004
-6.3322955E-001	-1.0776697E-003
-6.3313407E-001	-1.0053903E-003
-6.3273305E-001	-9.7077771E-004
-6.3261849E-001	-1.0443931E-003
-6.3254213E-001	-9.2140376E-004
-6.3238937E-001	-9.2445780E-004
-6.3217932E-001	-1.0740429E-003
-6.3210297E-001	-9.9387392E-004
-6.3185471E-001	-8.9722587E-004
-6.3166380E-001	-7.6342013E-004
-6.3158739E-001	-9.0995111E-004
-6.3137734E-001	-8.8030135E-004
-6.3118643E-001	-6.5398315E-004
-6.3093817E-001	-9.0027985E-004
-6.3076633E-001	-8.7864697E-004
-6.3059449E-001	-5.7241449E-004
-6.3036537E-001	-7.9027028E-004
-6.3032717E-001	-7.7690888E-004
-6.3011712E-001	-7.0838351E-004
-6.3009804E-001	-9.0307946E-004
-6.2996435E-001	-8.6859404E-004
-6.2958246E-001	-8.6954847E-004
-6.2948704E-001	-7.0043030E-004
-6.2927699E-001	-8.0725848E-004
-6.2920058E-001	-1.0793875E-003
-6.2899059E-001	-7.8683445E-004
-6.2889510E-001	-6.4348482E-004
-6.2845594E-001	-1.1673825E-003
-6.2855136E-001	-7.2250853E-004
-6.2836045E-001	-6.5347418E-004
-6.2803584E-001	-1.0470019E-003
-6.2805492E-001	-6.3457724E-004
-6.2786400E-001	-7.0781086E-004
-6.2757760E-001	-1.9332998E-004
-6.2759668E-001	-6.0963578E-004
-6.2723386E-001	-5.9589255E-004
-6.2702382E-001	7.9739257E-004
-6.2700474E-001	-5.7362334E-004
-6.2683290E-001	-6.0142804E-004
-6.2662286E-001	1.1765407E-003
-6.2660378E-001	-6.0270057E-004
-6.2631732E-001	-5.5332668E-004
-6.2608820E-001	7.3001249E-004
-6.2591636E-001	-5.4772757E-004
-6.2585908E-001	-6.1733456E-004
-6.2576360E-001	-5.4842746E-004
-6.2553447E-001	-4.8104732E-004
-6.2534350E-001	-5.9366564E-004
-6.2511438E-001	-5.1922305E-004
-6.2494254E-001	-5.3264818E-004
-6.2471342E-001	-4.3542741E-004
-6.2478977E-001	-4.8225623E-004
-6.2450337E-001	-5.2539480E-004
-6.2427425E-001	-3.9063458E-004
-6.2417877E-001	-4.1793019E-004
-6.2396872E-001	-4.9854454E-004
-6.2379688E-001	-3.9254336E-004
-6.2358683E-001	-3.4787785E-004
-6.2354863E-001	-3.1962784E-004
-6.2326223E-001	-4.1589420E-004
-6.2330043E-001	-3.1701918E-004
-6.2297583E-001	-3.2026411E-004
-6.2278485E-001	-3.7740040E-004
-6.2267029E-001	-3.3604339E-004
-6.2247938E-001	-2.8227930E-004
-6.2236482E-001	-1.9059406E-004
-6.2215477E-001	-3.1224723E-004
-6.2200201E-001	-2.9188688E-004
-6.2177289E-001	-2.8011602E-004
-6.2179196E-001	-2.8126131E-004
-6.2154377E-001	-2.0452817E-004
-6.2125731E-001	-2.5771966E-004
-6.2120003E-001	-1.7945947E-004
-6.2106639E-001	-2.0541894E-004
-6.2077999E-001	-2.6261885E-004
-6.2060809E-001	-1.8836714E-004
-6.2062722E-001	-8.9937523E-005
-6.2034076E-001	-1.7118809E-004
-6.2020713E-001	-2.1413573E-004
-6.1999708E-001	-1.5362728E-004
-6.1978704E-001	-1.9402985E-004
-6.1959612E-001	-4.9853050E-005
-6.1951971E-001	-1.4236545E-004
-6.1932880E-001	-1.2073255E-004
-6.1921424E-001	-1.0348987E-004
-6.1898512E-001	-1.3204400E-005
-6.1887050E-001	-4.6544494E-005
-6.1877507E-001	-8.1284365E-005
-6.1845046E-001	-4.7244379E-005
-6.1833590E-001	1.6063623E-005
-6.1824042E-001	2.0072068E-005
-6.1806858E-001	-6.2705534E-005
-6.1780125E-001	1.9944817E-005
-6.1774397E-001	3.5342342E-005
-6.1755300E-001	1.2387324E-006
-6.1722839E-001	1.4536595E-005
-6.1722839E-001	2.4398647E-005
-6.1694199E-001	9.2542236E-005
-6.1678922E-001	3.9605293E-005
-6.1673194E-001	3.8396396E-005
-6.1646461E-001	5.8693131E-005
-6.1633098E-001	1.6533054E-004
-6.1621642E-001	2.0617853E-004
-6.1594909E-001	3.8841779E-005
-6.1575812E-001	1.0603098E-004
-6.1570084E-001	8.5097978E-005
-6.1560535E-001	7.4217911E-005
-6.1529988E-001	2.0185194E-004
-6.1522347E-001	1.5381421E-004
-6.1493707E-001	1.5050564E-004
-6.1478430E-001	1.3580800E-004
-6.1468881E-001	2.7724894E-004
-6.1457425E-001	2.3067457E-004
-6.1432606E-001	1.7684686E-004
-6.1421150E-001	2.2106705E-004
-6.1386776E-001	3.4214757E-004
-6.1382961E-001	3.3050400E-004
-6.1371505E-001	3.2967687E-004
-6.1350501E-001	2.2068530E-004
-6.1335224E-001	2.9824555E-004
-6.1325675E-001	2.5281648E-004
-6.1298943E-001	3.2884971E-004
-6.1277938E-001	2.5828832E-004
-6.1264575E-001	3.3763010E-004
-6.1253119E-001	3.2439592E-004
-6.1224478E-001	2.9888179E-004
-6.1226386E-001	3.7924160E-004
-6.1195832E-001	3.3075848E-004
-6.1197746E-001	4.3644151E-004
-6.1176741E-001	3.9050344E-004
-6.1151916E-001	4.0876417E-004
-6.1127096E-001	4.9306877E-004
-6.1119455E-001	4.1569938E-004
-6.1090815E-001	3.8674948E-004
-6.1088908E-001	4.8823317E-004
-6.1065990E-001	5.2564539E-004
-6.1043078E-001	4.4146794E-004
-6.1029714E-001	4.5731085E-004
-6.1031622E-001	4.7798941E-004
-6.0983884E-001	5.6763861E-004
-6.0966700E-001	5.0509413E-004
-6.0976249E-001	5.6127599E-004
-6.0939968E-001	6.0282386E-004
-6.0934240E-001	5.5440434E-004
-6.0924691E-001	5.5376813E-004
-6.0901779E-001	6.5340661E-004
-6.0878867E-001	6.3559134E-004
-6.0878867E-001	5.4129743E-004
-6.0838771E-001	6.4392638E-004
-6.0829222E-001	6.0384185E-004
-6.0812038E-001	7.3554792E-004
-6.0798669E-001	6.5773324E-004
-6.0770029E-001	6.6485937E-004
-6.0773849E-001	7.1035197E-004
-6.0749024E-001	7.1976869E-004
-6.0720384E-001	7.9688354E-004
-6.0701287E-001	7.3643879E-004
-6.0689831E-001	6.9896301E-004
-6.0678375E-001	7.4375572E-004
-6.0670739E-001	7.2848552E-004
-6.0663098E-001	7.9561112E-004
-6.0626823E-001	7.8587636E-004
-6.0611546E-001	7.6004403E-004
-6.0588634E-001	7.9115719E-004
-6.0571444E-001	8.8755088E-004
-6.0565716E-001	9.0759306E-004
-6.0544711E-001	8.9798553E-004
-6.0529441E-001	9.2101825E-004
-6.0525620E-001	8.4835710E-004
-6.0508436E-001	9.3043485E-004
-6.0474062E-001	1.0048138E-003
-6.0454971E-001	9.8718936E-004
-6.0454971E-001	9.6791063E-004
-6.0414875E-001	9.4761385E-004
-6.0420603E-001	1.0350362E-003
-6.0395777E-001	9.6224796E-004
-6.0372865E-001	1.0310914E-003
-6.0365224E-001	1.0066589E-003
-6.0353768E-001	1.0026505E-003
-6.0327035E-001	1.0377722E-003
-6.0315579E-001	1.1176866E-003
-6.0306036E-001	1.0355453E-003
-6.0290760E-001	1.1418009E-003
-6.0269755E-001	1.0840284E-003
-6.0252571E-001	1.1069337E-003
-6.0223925E-001	1.0921725E-003
-6.0231566E-001	1.2141437E-003
-6.0197198E-001	1.2187249E-003
-6.0170466E-001	1.2185340E-003
-6.0172373E-001	1.1719597E-003
-6.0159010E-001	1.2372400E-003
-6.0134184E-001	1.1625430E-003
-6.0122728E-001	1.1710689E-003
-6.0103631E-001	1.3106010E-003
-6.0078812E-001	1.4194654E-003
-6.0067356E-001	1.3348426E-003
-6.0046351E-001	1.2980667E-003
-6.0025346E-001	1.3751179E-003
-6.0029167E-001	1.3615655E-003
-5.9994793E-001	1.3407598E-003
-5.9975702E-001	1.2931038E-003
-5.9952790E-001	1.3020752E-003
-5.9960425E-001	1.3768359E-003
-5.9937513E-001	1.2843235E-003
-5.9922236E-001	1.3295617E-003
-5.9905052E-001	1.3687552E-003
-5.9870678E-001	1.3928059E-003
-5.9866863E-001	1.3972598E-003
-5.9851587E-001	1.4810555E-003
-5.9822947E-001	1.4303455E-003
-5.9826761E-001	1.5129957E-003
-5.9803849E-001	1.4453611E-003
-5.9775209E-001	1.4272914E-003
-5.9773302E-001	1.4939080E-003
-5.9750384E-001	1.4920628E-003
-5.9723651E-001	1.5602701E-003
-5.9716016E-001	1.6048718E-003
-5.9700739E-001	1.4628584E-003
-5.9679735E-001	1.6804597E-003
-5.9656823E-001	1.6183606E-003
-5.9643459E-001	1.6028996E-003
-5.9632003E-001	1.6793144E-003
-5.9632003E-001	1.6572998E-003
-5.9609085E-001	1.7185082E-003
