Ewe/V	I/mA	
-6.4302498E-001	-6.7445207E-003
-6.4292949E-001	-1.4031173E-003
-6.4285314E-001	-1.2502874E-003
-6.4258581E-001	-1.1450497E-003
-6.4243305E-001	-1.1772445E-003
-6.4228028E-001	-1.1148909E-003
-6.4212751E-001	-9.6657837E-004
-6.4203203E-001	-1.1376054E-003
-6.4170748E-001	-8.9690770E-004
-6.4170748E-001	-1.0095895E-003
-6.4159286E-001	-1.0011910E-003
-6.4130646E-001	-9.5315318E-004
-6.4115369E-001	-9.1154175E-004
-6.4094365E-001	-9.0097979E-004
-6.4084822E-001	-9.0244325E-004
-6.4081001E-001	-8.1788411E-004
-6.4048541E-001	-8.2602823E-004
-6.4033264E-001	-8.7393867E-004
-6.4014173E-001	-9.2808454E-004
-6.3998896E-001	-9.2439423E-004
-6.3985527E-001	-8.2501018E-004
-6.3966435E-001	-8.6643075E-004
-6.3953066E-001	-7.8766164E-004
-6.3930154E-001	-8.4638852E-004
-6.3909149E-001	-7.3268876E-004
-6.3911062E-001	-8.0363179E-004
-6.3890058E-001	-7.2683505E-004
-6.3859504E-001	-7.5438520E-004
-6.3857597E-001	-7.0055749E-004
-6.3834685E-001	-8.2119257E-004
-6.3809860E-001	-7.1671855E-004
-6.3809860E-001	-7.5285818E-004
-6.3775492E-001	-7.5763016E-004
-6.3769764E-001	-6.4272131E-004
-6.3760215E-001	-6.7917915E-004
-6.3733482E-001	-6.1987963E-004
-6.3712478E-001	-5.4785481E-004
-6.3693386E-001	-6.6244550E-004
-6.3680017E-001	-5.2316790E-004
-6.3668561E-001	-5.9302937E-004
-6.3657105E-001	-5.9220224E-004
-6.3634193E-001	-5.4454623E-004
-6.3609368E-001	-5.3360255E-004
-6.3607460E-001	-5.5339024E-004
-6.3588363E-001	-5.6197983E-004
-6.3569272E-001	-6.1078108E-004
-6.3552088E-001	-4.8651919E-004
-6.3534904E-001	-5.1763240E-004
-6.3515806E-001	-5.7273265E-004
-6.3502443E-001	-5.5065437E-004
-6.3489074E-001	-5.2711269E-004
-6.3468069E-001	-4.7315771E-004
-6.3452792E-001	-4.9052766E-004
-6.3427973E-001	-4.0781367E-004
-6.3408875E-001	-2.8673315E-004
-6.3393605E-001	-4.2238407E-004
-6.3382143E-001	-4.7271230E-004
-6.3355416E-001	-2.7693473E-004
-6.3345867E-001	-4.7124893E-004
-6.3324863E-001	-4.0265991E-004
-6.3313407E-001	-1.2874947E-004
-6.3303858E-001	-4.0902256E-004
-6.3290495E-001	-4.1226749E-004
-6.3259941E-001	-3.0079452E-004
-6.3244665E-001	-3.7052875E-004
-6.3221753E-001	-3.3082606E-004
-6.3214117E-001	-4.6119600E-004
-6.3216025E-001	-3.4609635E-004
-6.3183564E-001	-3.4800512E-004
-6.3153011E-001	-4.8963691E-004
-6.3154924E-001	-2.7661660E-004
-6.3118643E-001	-2.7814362E-004
-6.3109094E-001	-2.3793189E-004
-6.3105279E-001	-2.2482492E-004
-6.3084275E-001	-2.9525906E-004
-6.3057542E-001	4.1029116E-004
-6.3057542E-001	-2.2966049E-004
-6.3034630E-001	-3.2509971E-004
-6.3004076E-001	1.2889046E-003
-6.3015532E-001	-2.4696681E-004
-6.2990707E-001	-2.7108114E-004
-6.2967795E-001	1.4409074E-003
-6.2954432E-001	-1.5623595E-004
-6.2933427E-001	-2.2317063E-004
-6.2914330E-001	6.1446743E-004
-6.2885690E-001	-8.4592917E-005
-6.2883782E-001	-1.6896117E-004
-6.2864685E-001	-1.0062670E-004
-6.2845594E-001	-1.5629957E-004
-6.2843680E-001	-1.3275791E-004
-6.2816948E-001	-1.1456083E-004
-6.2795949E-001	-1.7220610E-004
-6.2782580E-001	-5.3352487E-005
-6.2765396E-001	-1.3568471E-004
-6.2746298E-001	-1.0291724E-004
-6.2732935E-001	-4.1136271E-005
-6.2719572E-001	-2.3320954E-005
-6.2710023E-001	-1.0126297E-004
-6.2687111E-001	-6.4868822E-005
-6.2664193E-001	-9.8527038E-005
-6.2643194E-001	-7.3585601E-005
-6.2627918E-001	2.6498306E-005
-6.2629825E-001	-4.0436385E-005
-6.2605000E-001	7.6190321E-005
-6.2566811E-001	6.9014582E-006
-6.2576360E-001	3.0824885E-005
-6.2566811E-001	5.3730291E-005
-6.2528622E-001	7.1100236E-005
-6.2520987E-001	9.8282608E-006
-6.2501895E-001	2.1330465E-004
