Ewe/V	I/mA	
-6.3995075E-001	-6.9093388E-003
-6.3991255E-001	-1.5350141E-003
-6.3977891E-001	-1.3568611E-003
-6.3947338E-001	-1.2618036E-003
-6.3928246E-001	-1.1790897E-003
-6.3932067E-001	-1.1925148E-003
-6.3901514E-001	-1.1042653E-003
-6.3888150E-001	-1.2551865E-003
-6.3874781E-001	-1.1216989E-003
-6.3848048E-001	-1.1747631E-003
-6.3828957E-001	-1.0430571E-003
-6.3817501E-001	-1.1318155E-003
-6.3796496E-001	-1.1455587E-003
-6.3783127E-001	-1.1299066E-003
-6.3764036E-001	-9.9641900E-004
-6.3741118E-001	-9.1357774E-004
-6.3743031E-001	-1.0163340E-003
-6.3716298E-001	-1.0475108E-003
-6.3708663E-001	-9.4507268E-004
-6.3685745E-001	-9.3508349E-004
-6.3668561E-001	-9.3298376E-004
-6.3645649E-001	-9.0078887E-004
-6.3645649E-001	-9.8057615E-004
-6.3622737E-001	-9.2089473E-004
-6.3597912E-001	-9.0371573E-004
-6.3580728E-001	-8.9907099E-004
-6.3571179E-001	-7.9892349E-004
-6.3546360E-001	-8.8354625E-004
-6.3546360E-001	-8.1686606E-004
-6.3519627E-001	-8.2946400E-004
-6.3498622E-001	-8.9856202E-004
-6.3481438E-001	-8.3550846E-004
-6.3471889E-001	-8.5007888E-004
-6.3445157E-001	-7.7169156E-004
-6.3427973E-001	-7.7283673E-004
-6.3422245E-001	-7.5737567E-004
-6.3384056E-001	-6.4666622E-004
-6.3389784E-001	-7.2537165E-004
-6.3372600E-001	-7.0265715E-004
-6.3347775E-001	-3.8217232E-004
-6.3332498E-001	-7.1589136E-004
-6.3315314E-001	-6.3285930E-004
-6.3311493E-001	-3.4565091E-004
-6.3280946E-001	-6.4189424E-004
-6.3267577E-001	-6.0556369E-004
-6.3248485E-001	-3.8013631E-004
-6.3237029E-001	-6.7466171E-004
-6.3221753E-001	-6.1606203E-004
-6.3181657E-001	-5.5205415E-004
-6.3191199E-001	-6.6702656E-004
-6.3164467E-001	-5.3837453E-004
-6.3139647E-001	-7.9720555E-004
-6.3118643E-001	-5.7820446E-004
-6.3120550E-001	-5.7508680E-004
-6.3084275E-001	-8.8265544E-004
-6.3093817E-001	-5.8132218E-004
-6.3074726E-001	-4.8276523E-004
-6.3051814E-001	-5.8113132E-004
-6.3044173E-001	-5.3678383E-004
-6.3021260E-001	-4.7449386E-004
-6.2986892E-001	1.4350678E-004
-6.2984979E-001	-4.5960533E-004
-6.2965888E-001	-4.3008279E-004
-6.2941062E-001	8.1228110E-004
-6.2942976E-001	-4.3250062E-004
-6.2918150E-001	-3.5831257E-004
-6.2899059E-001	1.4076310E-003
-6.2887597E-001	-3.5379510E-004
-6.2868506E-001	-4.6488628E-004
-6.2851322E-001	7.4407388E-004
-6.2836045E-001	-3.4011545E-004
-6.2815040E-001	-4.0775002E-004
-6.2801677E-001	-3.2172751E-004
-6.2790221E-001	-3.5742178E-004
-6.2773031E-001	-3.6244822E-004
-6.2746298E-001	-3.1835533E-004
-6.2752032E-001	-3.1606480E-004
-6.2711930E-001	-3.0709352E-004
-6.2696654E-001	-3.2999890E-004
-6.2687111E-001	-2.7801638E-004
-6.2677562E-001	-2.4989361E-004
-6.2656558E-001	-2.5746514E-004
-6.2627918E-001	-2.1699889E-004
-6.2616462E-001	-1.3695723E-004
-6.2605000E-001	-3.2070949E-004
-6.2593544E-001	-2.3685025E-004
-6.2570632E-001	-2.0236488E-004
-6.2559175E-001	-2.4715770E-004
-6.2536263E-001	-1.1029787E-004
-6.2522894E-001	-2.2838797E-004
-6.2505710E-001	-2.0287390E-004
-6.2477070E-001	-9.9990444E-005
-6.2459886E-001	-1.4688291E-004
-6.2444609E-001	-1.5000059E-004
-6.2435061E-001	-4.0754516E-005
-6.2419784E-001	-1.2041444E-004
-6.2408328E-001	-1.5979900E-004
-6.2379688E-001	-1.0838910E-004
-6.2366325E-001	-8.2811384E-005
-6.2345320E-001	5.3094038E-005
-6.2339592E-001	-2.5166113E-005
-6.2309039E-001	-3.2228614E-005
-6.2307131E-001	-3.3501139E-005
-6.2276578E-001	-3.5968540E-006
-6.2272757E-001	2.3635133E-005
-6.2255573E-001	-1.1995503E-005
-6.2240297E-001	4.5967910E-005
-6.2213564E-001	1.6127247E-005
-6.2211657E-001	-5.5134024E-005
-6.2173468E-001	4.3613738E-005
