Ewe/V	I/mA	
-6.4789402E-001	-6.5892478E-003
-6.4770311E-001	-1.1556117E-003
-6.4753127E-001	-9.9381036E-004
-6.4741671E-001	-8.9194492E-004
-6.4716846E-001	-9.5703441E-004
-6.4707297E-001	-8.2914595E-004
-6.4674836E-001	-7.0545671E-004
-6.4667201E-001	-7.3975127E-004
-6.4646196E-001	-7.7099161E-004
-6.4638561E-001	-7.7099161E-004
-6.4629012E-001	-8.0604962E-004
-6.4606100E-001	-7.7627262E-004
-6.4583182E-001	-7.1754568E-004
-6.4564091E-001	-7.8384404E-004
-6.4543086E-001	-6.5131090E-004
-6.4537358E-001	-5.7527766E-004
-6.4539266E-001	-6.7733397E-004
-6.4502990E-001	-6.4672984E-004
-6.4485800E-001	-6.6206371E-004
-6.4466709E-001	-6.5913692E-004
-6.4449525E-001	-5.9252034E-004
-6.4443797E-001	-5.3665659E-004
-6.4418972E-001	-6.3285930E-004
-6.4396060E-001	-5.7635934E-004
-6.4386511E-001	-5.4499164E-004
-6.4388424E-001	-5.9837394E-004
-6.4348322E-001	-6.0963578E-004
-6.4327317E-001	-5.1279675E-004
-6.4331138E-001	-5.9907383E-004
-6.4308226E-001	-5.6019827E-004
-6.4287221E-001	-5.0465268E-004
-6.4279586E-001	-5.2666728E-004
-6.4252853E-001	-5.1438744E-004
-6.4228028E-001	-4.9848092E-004
-6.4218479E-001	-5.4155581E-004
-6.4201295E-001	-5.2743079E-004
-6.4187932E-001	-4.9606315E-004
-6.4170748E-001	-5.4798205E-004
-6.4159286E-001	-4.7093080E-004
-6.4138287E-001	-3.5742178E-004
-6.4124918E-001	-4.5903272E-004
-6.4096278E-001	-3.9445216E-004
-6.4081001E-001	-4.3154621E-004
-6.4073366E-001	-4.1958448E-004
-6.4059997E-001	-4.5922361E-004
-6.4037085E-001	-3.3267119E-004
-6.4019901E-001	-3.9209801E-004
-6.4010352E-001	-4.9065490E-004
-6.3975984E-001	-3.5583114E-004
-6.3975984E-001	-3.2948994E-004
-6.3960707E-001	-3.3897022E-004
-6.3941610E-001	-3.1097472E-004
-6.3924426E-001	-3.8777143E-004
-6.3903421E-001	-4.0062395E-004
-6.3878602E-001	-2.4442177E-004
-6.3874781E-001	-3.1052931E-004
-6.3853776E-001	-2.7426242E-004
-6.3840413E-001	-2.0153775E-004
-6.3817501E-001	-2.9627708E-004
-6.3796496E-001	-3.5156819E-004
-6.3785040E-001	-1.7239699E-004
-6.3781220E-001	-2.5752874E-004
-6.3762122E-001	-2.8666953E-004
-6.3735390E-001	-1.3619372E-004
-6.3731575E-001	-2.8266109E-004
-6.3697201E-001	-2.3525959E-004
-6.3680017E-001	-1.8823989E-004
-6.3681930E-001	-2.5014812E-004
-6.3664740E-001	-2.9023257E-004
-6.3639921E-001	-6.2387400E-005
-6.3638014E-001	-3.3324384E-004
-6.3597912E-001	-2.1133616E-004
-6.3578820E-001	-1.0883447E-004
-6.3578820E-001	-2.7699835E-004
-6.3559723E-001	-2.1432660E-004
-6.3536811E-001	9.0378955E-005
-6.3523442E-001	-1.4535588E-004
-6.3508171E-001	-1.3110363E-004
-6.3485253E-001	6.2765204E-005
-6.3473797E-001	-1.7328774E-004
-6.3454705E-001	-2.1299046E-004
-6.3429880E-001	7.7144716E-005
-6.3429880E-001	-1.0215373E-004
-6.3397419E-001	-1.0558954E-004
-6.3382143E-001	-1.2951298E-004
-6.3370687E-001	-1.0520778E-004
-6.3355416E-001	-1.0189923E-004
-6.3334411E-001	-1.5190936E-004
-6.3332498E-001	-4.4126700E-005
-6.3301951E-001	-5.8633454E-005
-6.3300037E-001	9.8395845E-005
-6.3265669E-001	-6.5632332E-005
-6.3261849E-001	-2.3384579E-005
-6.3221753E-001	8.2029792E-004
-6.3219845E-001	-8.6247201E-005
-6.3191199E-001	1.1751060E-006
-6.3185471E-001	1.4903449E-003
-6.3166380E-001	-3.4837285E-005
-6.3149196E-001	-2.3639086E-005
-6.3135827E-001	1.3504947E-003
-6.3128191E-001	-1.1550120E-005
-6.3111007E-001	-1.0404849E-005
-6.3093817E-001	3.6918870E-004
-6.3065177E-001	7.3708899E-005
-6.3049901E-001	-2.4657102E-005
-6.3051814E-001	-2.1970789E-006
-6.3030809E-001	3.4069817E-005
-6.3002169E-001	4.3931872E-005
-6.2992620E-001	3.9987048E-005
-6.2969708E-001	2.2298984E-005
-6.2948704E-001	5.8834403E-006
-6.2942976E-001	2.6498306E-005
-6.2923878E-001	4.8003942E-005
-6.2906694E-001	9.0011208E-006
-6.2902874E-001	1.8950849E-004
-6.2878054E-001	8.9106426E-005
-6.2847501E-001	1.2104675E-004
-6.2847501E-001	6.5437504E-005
-6.2834138E-001	1.0011375E-004
-6.2801677E-001	1.2047412E-004
-6.2803584E-001	1.2830013E-004
-6.2776852E-001	1.8594542E-004
-6.2748212E-001	2.3970949E-004
-6.2746298E-001	1.9822524E-004
-6.2727207E-001	6.6646397E-005
-6.2706202E-001	2.3881874E-004
-6.2687111E-001	2.0929619E-004
-6.2673742E-001	2.4142741E-004
-6.2654650E-001	1.2231927E-004
-6.2647009E-001	2.0306086E-004
-6.2627918E-001	2.0713292E-004
-6.2612641E-001	2.3442855E-004
-6.2595457E-001	1.6221288E-004
-6.2570632E-001	2.1642233E-004
-6.2557268E-001	3.0295388E-004
-6.2553447E-001	2.9729115E-004
-6.2524807E-001	2.4918979E-004
-6.2501895E-001	2.7540376E-004
-6.2490433E-001	3.1268867E-004
-6.2473249E-001	1.8874496E-004
-6.2467521E-001	3.0308112E-004
-6.2467521E-001	2.9697301E-004
-6.2423605E-001	3.4965549E-004
-6.2389237E-001	3.3387620E-004
-6.2402600E-001	3.1027090E-004
-6.2377781E-001	4.0895503E-004
-6.2364411E-001	3.1771517E-004
-6.2333864E-001	3.7955976E-004
-6.2320495E-001	4.0520105E-004
-6.2305218E-001	4.0736439E-004
-6.2293762E-001	4.0704623E-004
-6.2268943E-001	3.1905129E-004
-6.2253666E-001	4.4025909E-004
-6.2251753E-001	4.0297420E-004
-6.2217385E-001	4.0526473E-004
-6.2198293E-001	3.4660139E-004
-6.2190652E-001	4.0596459E-004
-6.2177289E-001	4.4961213E-004
-6.2156284E-001	5.0872081E-004
-6.2150556E-001	4.2683401E-004
-6.2108546E-001	4.0730074E-004
-6.2106639E-001	4.0889141E-004
-6.2095183E-001	4.7531712E-004
-6.2076086E-001	4.7372640E-004
-6.2055081E-001	4.7162676E-004
-6.2037897E-001	5.2819040E-004
-6.2028348E-001	5.4015213E-004
-6.2001616E-001	5.2195502E-004
-6.1993980E-001	4.9376860E-004
-6.1969161E-001	5.7832780E-004
-6.1955792E-001	6.3750014E-004
-6.1946243E-001	5.8939873E-004
-6.1923331E-001	5.4867798E-004
-6.1896598E-001	5.7457382E-004
-6.1894691E-001	5.5281370E-004
-6.1873686E-001	5.4727827E-004
-6.1858410E-001	6.1968475E-004
-6.1835498E-001	5.9296179E-004
-6.1827862E-001	6.6625909E-004
-6.1814493E-001	5.7826418E-004
-6.1791581E-001	5.6846574E-004
-6.1780125E-001	5.8984413E-004
-6.1762941E-001	7.3243032E-004
-6.1736208E-001	5.4212450E-004
-6.1717111E-001	6.1733060E-004
-6.1696106E-001	7.0080813E-004
-6.1701834E-001	7.5813523E-004
-6.1669374E-001	6.8426534E-004
-6.1656010E-001	6.5792416E-004
-6.1646461E-001	7.0297142E-004
-6.1617821E-001	6.9635431E-004
-6.1602545E-001	7.7073323E-004
-6.1608273E-001	7.2912179E-004
-6.1575812E-001	6.9520902E-004
-6.1562449E-001	8.0693653E-004
-6.1533803E-001	7.4038358E-004
-6.1516619E-001	8.3410490E-004
-6.1503255E-001	7.8854861E-004
-6.1497527E-001	8.4104016E-004
-6.1480343E-001	8.5669220E-004
-6.1455518E-001	8.0496416E-004
-6.1445969E-001	7.8848499E-004
-6.1428785E-001	8.3073275E-004
-6.1400145E-001	9.1325573E-004
-6.1390597E-001	8.2347938E-004
-6.1363864E-001	8.5198384E-004
-6.1361957E-001	9.2566281E-004
-6.1354315E-001	8.4733916E-004
-6.1321855E-001	9.0829295E-004
-6.1298943E-001	8.9340442E-004
-6.1287487E-001	8.9773099E-004
-6.1274123E-001	9.7160100E-004
-6.1260754E-001	9.4576878E-004
-6.1228293E-001	9.2948042E-004
-6.1228293E-001	9.0981997E-004
-6.1193925E-001	1.0045593E-003
-6.1188197E-001	1.0041775E-003
-6.1165285E-001	9.4296917E-004
-6.1171013E-001	1.0397446E-003
-6.1138552E-001	1.0218020E-003
-6.1125183E-001	1.0664038E-003
-6.1096543E-001	9.7478228E-004
-6.1086994E-001	1.0531697E-003
-6.1077446E-001	1.0581325E-003
-6.1048806E-001	1.0261922E-003
-6.1037350E-001	1.0742298E-003
-6.1016345E-001	1.1440278E-003
-6.1004889E-001	1.0615047E-003
-6.0993433E-001	1.0637952E-003
-6.0968608E-001	1.1643245E-003
-6.0962880E-001	1.1528718E-003
-6.0938060E-001	1.1760318E-003
-6.0915148E-001	1.1463820E-003
-6.0903692E-001	1.1274214E-003
-6.0892230E-001	1.2161798E-003
-6.0873139E-001	1.0881640E-003
-6.0850227E-001	1.1673149E-003
-6.0840678E-001	1.1826488E-003
-6.0817766E-001	1.2200610E-003
-6.0802490E-001	1.1752682E-003
-6.0791034E-001	1.2840689E-003
-6.0791034E-001	1.2235604E-003
