Ewe/V	I/mA	
-6.4972711E-001	-6.4085205E-003
-6.4959347E-001	-1.1556117E-003
-6.4940250E-001	-9.9896407E-004
-6.4919245E-001	-7.9205184E-004
-6.4911610E-001	-7.9109747E-004
-6.4884877E-001	-7.9396064E-004
-6.4869601E-001	-8.0585876E-004
-6.4852417E-001	-7.2015438E-004
-6.4842868E-001	-7.0622028E-004
-6.4810407E-001	-6.6072756E-004
-6.4804679E-001	-7.4121461E-004
-6.4777946E-001	-7.0265715E-004
-6.4762670E-001	-6.8675069E-004
-6.4751214E-001	-6.9273153E-004
-6.4743578E-001	-7.0857437E-004
-6.4720666E-001	-6.6562678E-004
-6.4711118E-001	-6.1059016E-004
-6.4686292E-001	-6.0899951E-004
-6.4665288E-001	-5.9773773E-004
-6.4657652E-001	-5.2164082E-004
-6.4646196E-001	-5.8717572E-004
-6.4619464E-001	-5.4645503E-004
-6.4604187E-001	-5.9818308E-004
-6.4594638E-001	-5.8755750E-004
-6.4571726E-001	-4.9447245E-004
-6.4548814E-001	-5.7394151E-004
-6.4533538E-001	-5.2749447E-004
-6.4518261E-001	-5.4308283E-004
-6.4508718E-001	-5.0242571E-004
-6.4493442E-001	-5.2908511E-004
-6.4455253E-001	-3.7860926E-004
-6.4455253E-001	-4.9065490E-004
-6.4451432E-001	-4.4840714E-004
-6.4407516E-001	-4.6323202E-004
-6.4420885E-001	-4.2811039E-004
-6.4380783E-001	-4.1563966E-004
-6.4363599E-001	-4.7894768E-004
-6.4357871E-001	-4.3956313E-004
-6.4348322E-001	-4.3956313E-004
-6.4312047E-001	-4.7462108E-004
-6.4302498E-001	-4.6208678E-004
-6.4292949E-001	-4.3358223E-004
-6.4275765E-001	-3.5417685E-004
-6.4258581E-001	-4.1150398E-004
-6.4235663E-001	-3.9636093E-004
-6.4224207E-001	-4.1048595E-004
-6.4203203E-001	-4.5209742E-004
-6.4186019E-001	-3.6887446E-004
-6.4153558E-001	-3.7727313E-004
-6.4166927E-001	-4.0393247E-004
-6.4132553E-001	-3.3273487E-004
-6.4123011E-001	-3.3591612E-004
-6.4107734E-001	-3.3483451E-004
-6.4088637E-001	-3.2662676E-004
-6.4071453E-001	-2.7133562E-004
-6.4063817E-001	-2.7241730E-004
-6.4042813E-001	-2.9042346E-004
-6.4023715E-001	-1.4872807E-004
-6.4006531E-001	-2.8902371E-004
-6.3981712E-001	-1.4898257E-004
-6.3974071E-001	-1.6488909E-004
-6.3953066E-001	-2.5816500E-004
-6.3941610E-001	-2.5638347E-004
-6.3918698E-001	-2.2832434E-004
-6.3903421E-001	-2.7419880E-004
-6.3878602E-001	-2.3201466E-004
-6.3869053E-001	-1.2455013E-004
-6.3857597E-001	-2.0090149E-004
-6.3848048E-001	-1.8295893E-004
-6.3811767E-001	-1.5394541E-004
-6.3807952E-001	-1.8041387E-004
-6.3790768E-001	-2.4289473E-004
-6.3773578E-001	-8.9873887E-005
-6.3754487E-001	-2.0128324E-004
-6.3729662E-001	-1.3053100E-004
-6.3716298E-001	-7.5430762E-005
-6.3697201E-001	-1.2448651E-004
-6.3687658E-001	-1.4128380E-004
-6.3680017E-001	-8.0011843E-005
-6.3664740E-001	-2.4607603E-004
-6.3641828E-001	-7.5239885E-005
-6.3615096E-001	-2.6502263E-005
-6.3618916E-001	-1.4561038E-004
-6.3586456E-001	-1.2684066E-004
-6.3569272E-001	4.6540543E-005
-6.3561630E-001	-1.4694654E-004
-6.3532990E-001	-8.2556879E-005
-6.3510078E-001	7.9308011E-005
-6.3517714E-001	-1.3383955E-004
-6.3481438E-001	-6.5695960E-005
-6.3464254E-001	1.3160869E-004
-6.3460433E-001	-6.4105312E-005
-6.3431793E-001	-5.0298433E-005
-6.3405061E-001	2.3366502E-004
-6.3405061E-001	6.7105802E-006
-6.3384056E-001	4.5077144E-005
-6.3361144E-001	2.0617853E-004
-6.3349682E-001	5.4939195E-005
-6.3328683E-001	2.0453825E-005
-6.3321042E-001	6.1683568E-005
-6.3305765E-001	3.4133442E-005
-6.3286674E-001	5.2648651E-005
-6.3261849E-001	1.1673419E-005
-6.3259941E-001	-2.2112057E-005
-6.3242757E-001	5.9456645E-005
-6.3225573E-001	2.8755635E-004
-6.3202655E-001	1.6127247E-005
-6.3198841E-001	5.3348536E-005
-6.3170195E-001	1.0006781E-003
-6.3158739E-001	9.1206093E-005
-6.3135827E-001	1.5712278E-004
-6.3116735E-001	1.6344581E-003
-6.3112915E-001	1.6743020E-004
-6.3093817E-001	1.4808786E-004
-6.3074726E-001	1.5722953E-003
-6.3047993E-001	1.6265824E-004
-6.3047993E-001	9.8650344E-005
-6.3036537E-001	2.5071681E-004
-6.3009804E-001	1.4038909E-004
-6.2983072E-001	2.2800229E-004
-6.2979251E-001	1.8530914E-004
-6.2965888E-001	1.5279619E-004
-6.2933427E-001	1.7086601E-004
-6.2935334E-001	2.2622077E-004
-6.2914330E-001	2.0808732E-004
-6.2893331E-001	1.5126915E-004
-6.2868506E-001	1.7996457E-004
-6.2849408E-001	2.1292288E-004
-6.2830317E-001	2.1343192E-004
-6.2830317E-001	1.2365541E-004
-6.2809312E-001	2.8901975E-004
-6.2794036E-001	2.3296512E-004
-6.2774944E-001	2.7705805E-004
-6.2755847E-001	2.4053664E-004
-6.2744391E-001	2.1387727E-004
-6.2727207E-001	2.3958227E-004
-6.2713838E-001	2.2679339E-004
-6.2687111E-001	2.5765205E-004
-6.2675649E-001	2.0401523E-004
-6.2648922E-001	2.3417402E-004
-6.2645102E-001	2.9729115E-004
-6.2627918E-001	3.0925288E-004
-6.2612641E-001	2.2902031E-004
-6.2578273E-001	3.1841503E-004
-6.2578273E-001	3.1758787E-004
-6.2566811E-001	2.5720667E-004
-6.2538171E-001	3.5805409E-004
-6.2519079E-001	3.8375906E-004
-6.2505710E-001	3.3317631E-004
-6.2488526E-001	3.7224274E-004
-6.2480891E-001	3.2407773E-004
-6.2457973E-001	3.6658003E-004
-6.2425512E-001	3.4615604E-004
-6.2423605E-001	3.4761941E-004
-6.2414056E-001	4.2925176E-004
-6.2394965E-001	4.3949555E-004
-6.2373960E-001	4.5616561E-004
-6.2362504E-001	4.4776694E-004
-6.2331951E-001	4.6119210E-004
-6.2320495E-001	4.1016392E-004
-6.2310946E-001	5.2150968E-004
-6.2280399E-001	4.9561379E-004
-6.2268943E-001	4.7849838E-004
-6.2257487E-001	4.6061946E-004
