Ewe/V	<I>/mA	
-7.9613602E-001	-1.565091850283845E-002
-7.9556561E-001	-1.549032973650918E-002
-7.9513353E-001	-1.533334180840299E-002
-7.9457033E-001	-1.518244644917421E-002
-7.9408336E-001	-1.503178582702901E-002
-7.9355347E-001	-1.488362875054466E-002
-7.9313576E-001	-1.473735079497002E-002
-7.9256541E-001	-1.458905799895705E-002
-7.9208326E-001	-1.444197530666283E-002
-7.9155815E-001	-1.430231823727021E-002
-7.9109514E-001	-1.416303293692078E-002
-7.9059863E-001	-1.402293501821147E-002
-7.9007834E-001	-1.388623342597489E-002
-7.8958911E-001	-1.375051263429999E-002
-7.8907585E-001	-1.361301503148327E-002
-7.8856748E-001	-1.348072046929133E-002
-7.8812826E-001	-1.334947747445575E-002
-7.8755784E-001	-1.321567090746015E-002
-7.8709245E-001	-1.308745341090595E-002
-7.8657204E-001	-1.296301334168168E-002
-7.8610432E-001	-1.283598793137971E-002
-7.8557920E-001	-1.270913501345615E-002
-7.8505641E-001	-1.258876433853320E-002
-7.8459585E-001	-1.246657804520825E-002
-7.8409934E-001	-1.234901123677913E-002
-7.8360534E-001	-1.223061159010498E-002
-7.8309929E-001	-1.211239552608631E-002
-7.8259099E-001	-1.199242228174771E-002
-7.8209448E-001	-1.187844072530780E-002
-7.8159076E-001	-1.176499789170798E-002
-7.8110158E-001	-1.165525968901259E-002
-7.8065765E-001	-1.154388397956737E-002
-7.8008240E-001	-1.143407653735050E-002
-7.7960020E-001	-1.132370633773857E-002
-7.7905613E-001	-1.121560414715295E-002
-7.7866465E-001	-1.110990642225937E-002
-7.7808696E-001	-1.100207007013443E-002
-7.7757871E-001	-1.089855637686915E-002
-7.7711803E-001	-1.079639347234279E-002
-7.7667165E-001	-1.069528135360994E-002
-7.7607018E-001	-1.058850772611283E-002
-7.7559996E-001	-1.047372654661018E-002
-7.7503908E-001	-1.036591703536860E-002
-7.7460229E-001	-1.026067046078040E-002
-7.7404624E-001	-1.015959854947390E-002
-7.7360940E-001	-1.006168385411756E-002
-7.7313918E-001	-9.961928219936015E-003
-7.7254015E-001	-9.867002030196082E-003
-7.7205795E-001	-9.771601938884877E-003
-7.7155197E-001	-9.678618648004317E-003
-7.7102923E-001	-9.582509366185418E-003
-7.7054948E-001	-9.491241217919583E-003
-7.7009368E-001	-9.397448190225948E-003
-7.6958764E-001	-9.305869150044659E-003
-7.6907212E-001	-9.217623445539752E-003
-7.6856130E-001	-9.129566788696669E-003
-7.6809824E-001	-9.040260380954845E-003
-7.6757318E-001	-8.953914409349146E-003
-7.6711971E-001	-8.864986004143982E-003
-7.6658022E-001	-8.777934375733265E-003
-7.6610047E-001	-8.694591194836260E-003
-7.6563275E-001	-8.610428024424687E-003
-7.6507187E-001	-8.528081764563621E-003
-7.6463979E-001	-8.445031130232095E-003
-7.6411474E-001	-8.361451898911937E-003
-7.6355380E-001	-8.279085369946551E-003
-7.6310742E-001	-8.196724472399844E-003
-7.6258951E-001	-8.119177709649788E-003
-7.6208830E-001	-8.038589947898897E-003
-7.6159424E-001	-7.958146165216673E-003
-7.6108819E-001	-7.882093751460484E-003
-7.6055604E-001	-7.803963851375772E-003
-7.6006907E-001	-7.728316987148847E-003
-7.5957018E-001	-7.653759786472246E-003
-7.5908089E-001	-7.578702912265422E-003
-7.5856060E-001	-7.506832942613088E-003
-7.5820255E-001	-7.434761592978319E-003
-7.5759155E-001	-7.360941598340526E-003
-7.5706881E-001	-7.287348852331260E-003
-7.5660104E-001	-7.217610158873018E-003
-7.5605923E-001	-7.148051000345809E-003
-7.5563204E-001	-7.081182475868724E-003
-7.5508302E-001	-7.011254585935183E-003
-7.5454122E-001	-6.942229102740394E-003
-7.5413060E-001	-6.874564528093555E-003
-7.5359368E-001	-6.807906352736426E-003
-7.5309724E-001	-6.742258420934260E-003
-7.5256729E-001	-6.675773389568068E-003
-7.5212348E-001	-6.610840292841952E-003
-7.5156724E-001	-6.548627480227470E-003
-7.5108749E-001	-6.485041271949550E-003
-7.5060785E-001	-6.418824481142171E-003
-7.5006592E-001	-6.357283402396809E-003
-7.4959099E-001	-6.297481393309476E-003
-7.4908739E-001	-6.234747938203507E-003
-7.4859565E-001	-6.174615163974884E-003
-7.4811357E-001	-6.113017540037423E-003
-7.4759793E-001	-6.052404095005938E-003
-7.4706101E-001	-5.994313021238428E-003
-7.4659079E-001	-5.936945248212879E-003
-7.4610382E-001	-5.878626266717279E-003
-7.4559069E-001	-5.819002036380513E-003
-7.4509901E-001	-5.766896348252310E-003
-7.4454772E-001	-5.710048499355732E-003
-7.4404645E-001	-5.651743091161135E-003
-7.4357396E-001	-5.597792736906873E-003
-7.4301296E-001	-5.543426218353090E-003
-7.4255228E-001	-5.489674475409004E-003
-7.4202013E-001	-5.436338492914912E-003
-7.4158806E-001	-5.383153555805521E-003
-7.4105811E-001	-5.326842866875778E-003
-7.4056172E-001	-5.277671496488202E-003
-7.4005574E-001	-5.225349078236324E-003
-7.3959750E-001	-5.173490807727027E-003
-7.3905563E-001	-5.123340370896748E-003
-7.3853540E-001	-5.074671313410592E-003
-7.3808664E-001	-5.002873346596867E-003
-7.3754478E-001	-4.939993652724198E-003
-7.3710793E-001	-4.890427574084886E-003
-7.3659241E-001	-4.841342084780943E-003
-7.3607451E-001	-4.793207946244757E-003
-7.3556846E-001	-4.745562741822584E-003
-7.3506254E-001	-4.695910953596986E-003
-7.3454940E-001	-4.648548879976608E-003
-7.3411018E-001	-4.603792445120209E-003
-7.3353022E-001	-4.556250876254858E-003
-7.3308146E-001	-4.509242725882655E-003
-7.3259693E-001	-4.464890483695527E-003
-7.3209566E-001	-4.418914360661622E-003
-7.3147994E-001	-4.372881737104880E-003
-7.3101932E-001	-4.327554065602035E-003
-7.3060393E-001	-4.284822941717302E-003
-7.3008841E-001	-4.242296769767347E-003
-7.2955137E-001	-4.197985896368977E-003
-7.2911930E-001	-4.155072335107049E-003
-7.2859430E-001	-4.110730198112159E-003
-7.2805727E-001	-4.069938512005433E-003
-7.2756797E-001	-4.027302096097321E-003
-7.2707146E-001	-3.984243964015151E-003
-7.2656554E-001	-3.943752425221978E-003
-7.2604036E-001	-3.903745986535492E-003
-7.2552484E-001	-3.861822693444247E-003
-7.2501415E-001	-3.820553991001514E-003
-7.2454631E-001	-3.781149599403011E-003
-7.2409511E-001	-3.742653524425973E-003
-7.2353667E-001	-3.701093155005081E-003
-7.2302592E-001	-3.660563700721216E-003
-7.2256047E-001	-3.622458079119320E-003
-7.2208071E-001	-3.584965317321804E-003
-7.2153890E-001	-3.545286509074278E-003
-7.2100908E-001	-3.507387743660134E-003
-7.2060800E-001	-3.469569881833941E-003
-7.2006625E-001	-3.432792670972615E-003
-7.1961510E-001	-3.397344714595088E-003
-7.1910441E-001	-3.358845064798485E-003
-7.1856970E-001	-3.322885518547564E-003
-7.1806848E-001	-3.287898945320604E-003
-7.1751952E-001	-3.252065515204048E-003
-7.1702063E-001	-3.216861276762557E-003
-7.1652669E-001	-3.181136593902935E-003
-7.1607792E-001	-3.147582230484378E-003
-7.1555752E-001	-3.110844676712885E-003
-7.1508491E-001	-3.077766484787290E-003
-7.1455038E-001	-3.042898470002719E-003
-7.1408737E-001	-3.010358964250795E-003
-7.1356934E-001	-2.977829396969809E-003
-7.1307534E-001	-2.943530897310211E-003
-7.1257883E-001	-2.910485584949350E-003
-7.1201313E-001	-2.879796572128985E-003
-7.1154535E-001	-2.846628506772177E-003
-7.1104890E-001	-2.813346454386848E-003
-7.1057630E-001	-2.779911322955731E-003
-7.1006548E-001	-2.750709426818518E-003
-7.0957386E-001	-2.719608815262751E-003
-7.0906550E-001	-2.686267483472076E-003
-7.0857853E-001	-2.656272064002777E-003
-7.0807028E-001	-2.624923983942498E-003
-7.0756650E-001	-2.596096360784403E-003
-7.0704144E-001	-2.565969510658954E-003
-7.0651394E-001	-2.536948376187960E-003
-7.0604378E-001	-2.505994102003723E-003
-7.0555925E-001	-2.477483521087141E-003
-7.0507228E-001	-2.450296598712296E-003
-7.0458549E-001	-2.420187765801399E-003
-7.0405793E-001	-2.392300906267516E-003
-7.0357347E-001	-2.365280792127132E-003
-7.0302212E-001	-2.337717906112274E-003
-7.0249701E-001	-2.308106245665548E-003
-7.0203876E-001	-2.279426904447521E-003
-7.0153743E-001	-2.253072825063696E-003
-7.0106018E-001	-2.228057564708861E-003
-7.0061141E-001	-2.200213885377541E-003
-7.0007432E-001	-2.173726752171749E-003
-6.9957328E-001	-2.144819834973570E-003
-6.9906950E-001	-2.120053838449048E-003
-6.9860888E-001	-2.094383614991951E-003
-6.9806230E-001	-2.067765989475209E-003
-6.9756109E-001	-2.041021435059888E-003
-6.9708848E-001	-2.017397464583043E-003
-6.9652277E-001	-1.993230573897897E-003
-6.9607174E-001	-1.966664357476654E-003
-6.9556576E-001	-1.942007827413841E-003
-6.9506204E-001	-1.916852369787222E-003
-6.9457769E-001	-1.893308318802790E-003
-6.9411451E-001	-1.870702120386812E-003
-6.9353211E-001	-1.844977802714386E-003
-6.9302851E-001	-1.820941650219343E-003
-6.9254166E-001	-1.797874856007478E-003
-6.9207621E-001	-1.774198774216661E-003
-6.9159168E-001	-1.751821199692586E-003
-6.9106185E-001	-1.728943698674670E-003
-6.9061309E-001	-1.706793706516378E-003
-6.9009030E-001	-1.682393750381223E-003
-6.8955570E-001	-1.659666831519368E-003
-6.8902355E-001	-1.639551939138223E-003
-6.8856758E-001	-1.617018019732254E-003
-6.8808067E-001	-1.593181327668173E-003
-6.8760580E-001	-1.572572985897396E-003
-6.8705672E-001	-1.552223486787420E-003
-6.8660802E-001	-1.528626171905540E-003
-6.8605912E-001	-1.507752544755759E-003
-6.8552923E-001	-1.487216594676502E-003
-6.8507332E-001	-1.465793242540781E-003
-6.8461978E-001	-1.446655625764709E-003
-6.8406135E-001	-1.423947369793928E-003
-6.8356967E-001	-1.403244651448008E-003
-6.8299443E-001	-1.383135168071346E-003
-6.8250513E-001	-1.363217453434208E-003
-6.8207556E-001	-1.342009076976711E-003
-6.8157667E-001	-1.324122859911901E-003
-6.8106824E-001	-1.305007949148981E-003
-6.8051928E-001	-1.284382379444358E-003
-6.8002522E-001	-1.263848965345573E-003
-6.7953831E-001	-1.245854619516606E-003
-6.7908013E-001	-1.226927414854965E-003
-6.7857879E-001	-1.207002346041371E-003
-6.7805135E-001	-1.188169047589251E-003
-6.7754298E-001	-1.169324572025638E-003
-6.7703456E-001	-1.151675742557819E-003
-6.7652613E-001	-1.133187285296457E-003
-6.7606550E-001	-1.114203372898623E-003
-6.7551661E-001	-1.095997388972350E-003
-6.7500818E-001	-1.079396472987677E-003
-6.7455465E-001	-1.061250957080828E-003
-6.7403919E-001	-1.042003150716410E-003
-6.7361909E-001	-1.024524778436037E-003
-6.7307246E-001	-1.009159387788519E-003
-6.7256171E-001	-9.889901851930671E-004
-6.7207718E-001	-9.709605557814450E-004
-6.7150915E-001	-9.547302411413542E-004
-6.7105317E-001	-9.385858898504846E-004
-6.7056632E-001	-9.192607948856849E-004
-6.7004120E-001	-9.014744327389439E-004
-6.6954714E-001	-8.865887532061716E-004
-6.6911048E-001	-8.697141767101307E-004
-6.6859961E-001	-8.525404099681174E-004
-6.6807204E-001	-8.381510410313160E-004
-6.6749454E-001	-8.206443361977786E-004
-6.6704339E-001	-8.029511871082591E-004
-6.6655177E-001	-7.870956520459154E-004
-6.6597408E-001	-7.721994327865769E-004
-6.6549444E-001	-7.559612847528081E-004
-6.6508865E-001	-7.400424973826556E-004
-6.6453493E-001	-7.238338376960064E-004
-6.6403854E-001	-7.077791148809523E-004
-6.6354197E-001	-6.934786011450825E-004
