Ewe/V	<I>/mA	
-8.7023115E-001	-1.256477145520271E-002
-8.6969382E-001	-1.243278679727682E-002
-8.6918998E-001	-1.230466109579993E-002
-8.6868620E-001	-1.217692907971737E-002
-8.6818719E-001	-1.206649483950092E-002
-8.6772639E-001	-1.196941283274877E-002
-8.6722964E-001	-1.185085902817369E-002
-8.6670202E-001	-1.172315926600739E-002
-8.6621970E-001	-1.159089402619545E-002
-8.6571115E-001	-1.149612514299325E-002
-8.6522406E-001	-1.139783786503853E-002
-8.6470360E-001	-1.129708276912098E-002
-8.6419976E-001	-1.116980235427643E-002
-8.6372709E-001	-1.105403227174556E-002
-8.6317062E-001	-1.094013047075751E-002
-8.6267889E-001	-1.084928742383148E-002
-8.6215353E-001	-1.075493979419892E-002
-8.6168069E-001	-1.065483015125029E-002
-8.6123198E-001	-1.053563760186455E-002
-8.6074710E-001	-1.043146668589304E-002
-8.6026013E-001	-1.032161703737241E-002
-8.5973477E-001	-1.023665472649027E-002
-8.5916173E-001	-1.014270845634754E-002
-8.5872722E-001	-1.005481866435118E-002
-8.5815173E-001	-9.937871444578445E-003
-8.5771239E-001	-9.834568846433418E-003
-8.5717285E-001	-9.736691801668765E-003
-8.5670000E-001	-9.651925625829463E-003
-8.5617959E-001	-9.574569878661940E-003
-8.5569006E-001	-9.479584114477722E-003
-8.5523880E-001	-9.373233415057664E-003
-8.5470635E-001	-9.271886391938211E-003
-8.5423112E-001	-9.189709357146108E-003
-8.5366529E-001	-9.109442754811098E-003
-8.5318065E-001	-9.036634077677672E-003
-8.5272694E-001	-8.936716378878912E-003
-8.5217774E-001	-8.838848134610735E-003
-8.5166198E-001	-8.738896757072879E-003
-8.5122508E-001	-8.664987077199041E-003
-8.5072845E-001	-8.590130172466986E-003
-8.5019594E-001	-8.519228654544595E-003
-8.4969932E-001	-8.424200181604794E-003
-8.4918600E-001	-8.335361624087656E-003
-8.4868461E-001	-8.237698087121178E-003
-8.4820473E-001	-8.172130432944582E-003
-8.4766263E-001	-8.099399876808632E-003
-8.4717560E-001	-8.032865256034944E-003
-8.4674340E-001	-7.944398514074538E-003
-8.4621817E-001	-7.856130734497021E-003
-8.4564507E-001	-7.764868817260600E-003
-8.4520090E-001	-7.708411761974218E-003
-8.4473306E-001	-7.642033198095574E-003
-8.4416467E-001	-7.568821104163237E-003
-8.4372056E-001	-7.479381534149829E-003
-8.4323359E-001	-7.397185038606396E-003
-8.4269142E-001	-7.326907383955860E-003
-8.4218526E-001	-7.266221019751579E-003
-8.4173173E-001	-7.209151244695732E-003
-8.4118479E-001	-7.126107942953097E-003
-8.4069300E-001	-7.043204078602733E-003
-8.4019160E-001	-6.967937766276188E-003
-8.3968061E-001	-6.915160335797755E-003
-8.3914822E-001	-6.851858675203256E-003
-8.3867782E-001	-6.778895200015872E-003
-8.3821940E-001	-6.703592657551854E-003
-8.3773220E-001	-6.617676284700724E-003
-8.3719981E-001	-6.569629596948470E-003
-8.3675092E-001	-6.518753790577155E-003
-8.3619940E-001	-6.444884139260212E-003
-8.3566213E-001	-6.368101646752347E-003
-8.3518946E-001	-6.297590762163081E-003
-8.3463788E-001	-6.252045876670456E-003
-8.3417702E-001	-6.196373020124782E-003
-8.3362556E-001	-6.125520815139410E-003
-8.3316225E-001	-6.060442272969202E-003
-8.3267272E-001	-5.986889320986879E-003
-8.3219993E-001	-5.938744207567414E-003
-8.3169138E-001	-5.881907431177814E-003
-8.3121389E-001	-5.831491385018095E-003
-8.3071482E-001	-5.762728380179548E-003
-8.3021820E-001	-5.698771160279673E-003
-8.2969052E-001	-5.632449930078696E-003
-8.2918435E-001	-5.586622435100677E-003
-8.2865191E-001	-5.543303189501770E-003
-8.2816952E-001	-5.478639746860748E-003
-8.2768488E-001	-5.417269839515140E-003
-8.2719296E-001	-5.354649499732730E-003
-8.2672977E-001	-5.292759705637307E-003
-8.2617587E-001	-5.246530782219004E-003
-8.2568872E-001	-5.169096757694468E-003
-8.2519925E-001	-5.131307441197726E-003
-8.2470751E-001	-5.083998138737160E-003
-8.2421315E-001	-5.035261246556739E-003
-8.2372367E-001	-4.963903217744986E-003
-8.2319832E-001	-4.906233048063709E-003
-8.2263726E-001	-4.860604753870568E-003
-8.2218599E-001	-4.826012363625065E-003
-8.2167029E-001	-4.776960074172873E-003
-8.2121181E-001	-4.717673551131077E-003
-8.2065070E-001	-4.652144372471532E-003
-8.2017559E-001	-4.602958427528307E-003
-8.1960493E-001	-4.572088477334327E-003
-8.1919420E-001	-4.529776398125018E-003
-8.1868571E-001	-4.482457580806176E-003
-8.1815082E-001	-4.416131829380047E-003
-8.1770670E-001	-4.360089058894940E-003
-8.1714803E-001	-4.320588134899494E-003
-8.1665373E-001	-4.286034976831719E-003
-8.1616908E-001	-4.246963492243447E-003
-8.1567240E-001	-4.196533778045964E-003
-8.1514710E-001	-4.137689376453202E-003
-8.1471258E-001	-4.085630234155629E-003
-8.1418723E-001	-4.042993219468952E-003
-8.1366915E-001	-4.015382030515463E-003
-8.1317490E-001	-3.975935878066883E-003
-8.1275702E-001	-3.932059391911983E-003
-8.1217682E-001	-3.870696361627998E-003
-8.1163722E-001	-3.825484888708375E-003
-8.1114769E-001	-3.784139211766683E-003
-8.1071800E-001	-3.758048013118437E-003
-8.1016880E-001	-3.723671375456376E-003
-8.0969125E-001	-3.673346176495007E-003
-8.0913740E-001	-3.613636496718468E-003
-8.0862153E-001	-3.575936052723383E-003
-8.0819184E-001	-3.549828272450484E-003
-8.0772138E-001	-3.519386874472410E-003
-8.0717224E-001	-3.477428950273073E-003
-8.0663747E-001	-3.426576665571113E-003
-8.0614311E-001	-3.375738982880995E-003
-8.0567998E-001	-3.339379779303017E-003
-8.0516410E-001	-3.318019985235024E-003
-8.0467236E-001	-3.295669116491704E-003
-8.0422831E-001	-3.237506210714426E-003
-8.0363846E-001	-3.188779388066429E-003
-8.0317289E-001	-3.149256255252815E-003
-8.0267143E-001	-3.124636747050748E-003
-8.0218434E-001	-3.103798339475924E-003
-8.0166864E-001	-3.060573723127197E-003
-8.0110276E-001	-3.014891156092126E-003
-8.0065864E-001	-2.968263424144871E-003
-8.0016440E-001	-2.935274696933825E-003
-7.9968208E-001	-2.913494291263211E-003
-7.9916400E-001	-2.889984511327804E-003
-7.9866254E-001	-2.855621305558921E-003
-7.9818022E-001	-2.801888237143148E-003
-7.9763103E-001	-2.760134604288807E-003
-7.9711533E-001	-2.730572990573735E-003
-7.9669511E-001	-2.712858228716836E-003
-7.9618174E-001	-2.686542148530736E-003
-7.9560387E-001	-2.640200516355558E-003
-7.9515022E-001	-2.594704784933247E-003
-7.9463929E-001	-2.566974882218263E-003
-7.9414982E-001	-2.551799025879306E-003
-7.9368663E-001	-2.524993349170210E-003
-7.9313976E-001	-2.477260777028462E-003
-7.9268378E-001	-2.433292383154751E-003
-7.9215127E-001	-2.404089241075533E-003
-7.9164988E-001	-2.386670733220811E-003
-7.9122728E-001	-2.367236146019976E-003
-7.9065663E-001	-2.334580023634628E-003
-7.9015523E-001	-2.294416067391188E-003
-7.8969193E-001	-2.254568011529602E-003
-7.8921920E-001	-2.229227175349166E-003
-7.8871304E-001	-2.214208047910639E-003
-7.8811610E-001	-2.188115842695731E-003
-7.8770542E-001	-2.154529015464153E-003
-7.8724217E-001	-2.110635570566434E-003
-7.8674793E-001	-2.076779336840626E-003
-7.8622985E-001	-2.058675187643994E-003
-7.8571409E-001	-2.050377932642469E-003
-7.8516734E-001	-2.022128810768444E-003
-7.8468257E-001	-1.978661682592385E-003
-7.8423375E-001	-1.936626979849765E-003
-7.8366309E-001	-1.912424726433972E-003
-7.8319263E-001	-1.904668393941565E-003
-7.8272474E-001	-1.884998630019930E-003
-7.8213018E-001	-1.851350953826755E-003
-7.8167892E-001	-1.808464714750012E-003
-7.8119427E-001	-1.785246487796269E-003
-7.8076684E-001	-1.768375945191934E-003
-7.8021049E-001	-1.756925046273034E-003
-7.7965182E-001	-1.725350409177868E-003
-7.7915514E-001	-1.682237328478102E-003
-7.7872533E-001	-1.654909399945146E-003
-7.7817619E-001	-1.644296913474896E-003
-7.7770102E-001	-1.631681641297528E-003
-7.7719486E-001	-1.599804975460984E-003
-7.7672690E-001	-1.562513521112966E-003
-7.7613950E-001	-1.530893646957632E-003
-7.7566910E-001	-1.516973847898711E-003
-7.7514619E-001	-1.508510194311388E-003
-7.7465439E-001	-1.487333483508390E-003
-7.7423650E-001	-1.445447191453402E-003
-7.7364194E-001	-1.409768144752325E-003
-7.7311426E-001	-1.392872173307349E-003
-7.7270359E-001	-1.386587610633279E-003
-7.7215689E-001	-1.369967602942223E-003
-7.7167213E-001	-1.342127683362115E-003
